Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
OSU K12 Training Grant for Clinical Faculty Investigators,NCI,8684456,2K12CA133250-06A1,2,K12,CA,133250,6,A1,,6174989,"BYRD, JOHN C.",Not Applicable,OHIO STATE UNIVERSITY, ,2014,808277,
Determinants of Multisite Musculoskeletal Pain Among Construction Workers,NIOSH,8566343,1K01OH010485-01,1,K01,OH,10485,1,,,9638268,"CABAN-MARTINEZ, ALBERTO JUAN",Not Applicable,HARVARD SCHOOL OF PUBLIC HEALTH, ,2013,97158,
Pluripotent stem cell-derived HSCs: improvements and molecular mechanisms,NIDDK,8581567,1K01DK096013-01A1,1,K01,DK,96013,1,A1,,8504564,"CAHAN, PATRICK ",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2013,156276,
The Role of Prostaglandin D2 in the Respiratory Symptoms of Aspirin Exacerbated Respiratory Disease,NIAID,8940477,1K23AI118804-01,1,K23,AI,118804,1,,,10872996,"CAHILL, KATHERINE N",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2015,185220,
Dynamic Brain Mechanisms of Proactive and Reactive Control in Childhood ADHD,NIMH,8967733,1K01MH105625-01A1,1,K01,MH,105625,1,A1,,11697833,"CAI, WEIDONG ",Not Applicable,STANFORD UNIVERSITY, ,2015,169714,
Intervention to Promote PrEP Awareness and Equitable Prescription among Providers,NIMH,8658641,1K01MH103080-01,1,K01,MH,103080,1,,,11492801,"CALABRESE, SARAH K.",Not Applicable,YALE UNIVERSITY, ,2014,158882,
Duke CTSA (Composite),NCATS,8721509,1KL2TR001115-01,1,KL2,TR,1115,1,,,2449736,"CALIFF, ROBERT M ","KRAFT, MONICA ;LI, JENNIFER S;MCNAMARA, JAMES O.",DUKE UNIVERSITY, ,2013,256520,
The Impact of the Metabolic Syndrome on Neuropathy,NINDS,8352971,1K23NS079417-01,1,K23,NS,79417,1,,,9805574,"CALLAGHAN, BRIAN CHRISTOPHER",Not Applicable,UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2013,187380,
Promoting Mental and Sexual Health Among Young Pregnant Women in Liberia,FIC,8630377,1K01TW009660-01,1,K01,TW,9660,1,,,10752300,"CALLANDS, TAMORA A",Not Applicable,YALE UNIVERSITY, ,2013,130776,
Advancing Outcome Metrics in Trauma Surgery Through Utilization of Big Data,NIEHS,9043721,1K01ES026834-01,1,K01,ES,26834,1,,,11368328,"CALLCUT, RACHAEL A",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2015,222898,
SUBSTANCE USE AND DISORDERED WEIGHT BEHAVIORS IN SEXUAL MINORITY YOUTH CONTEXTS,NIDA,8423220,1K01DA034753-01,1,K01,DA,34753,1,,,8444428,"CALZO, JEREL PASION",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2013,147565,
Evaluating the Adverse Cognitive Effects of Medications,NIA,8635755,1K23AG044440-01A1,1,K23,AG,44440,1,A1,,10205026,"CAMPBELL, NOLL L.",Not Applicable,PURDUE UNIVERSITY, ,2014,152466,
A Critical Role for Follistatin-like Protein-1 in Lung Homeostasis,NHLBI,8947692,1K08HL128809-01,1,K08,HL,128809,1,,,10753030,"CAMPFIELD, BRIAN T",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2015,126792,
Human T Cell Immunology of Plasmodium Vivax Malaria,NIAID,8488357,1K08AI104773-01,1,K08,AI,104773,1,,,11371176,"CANNELLA, ANTHONY P",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2013,186775,
Lung Transplant donor: prediction; evaluation; and mechanism,NHLBI,8424616,1K23HL116656-01,1,K23,HL,116656,1,,,2097335,"CANTU, EDWARD ",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2013,160556,
Autophagy in Metabolic Distress and Cardiac Function: Regulation by the HDAC-FoxO,NHLBI,8700949,1K08HL116801-01A1,1,K08,HL,116801,1,A1,,10413112,"CAO, DIAN ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2014,132285,
Inhibiting STAT1 as a novel graft-versus-host/graft-versus-leukemia therapy,NCI,8699319,1K08CA174750-01A1,1,K08,CA,174750,1,A1,,10503122,"CAPITINI, CHRISTIAN ",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2014,178740,
Midcareer Investigator Award in Patient-Oriented Research in Aging,NIA,8510209,1K24AG042765-01A1,1,K24,AG,42765,1,A1,,6892221,"CAPPOLA, ANNE R",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2013,181896,
Investigation of Neonatal Influenza Pathogenesis,NIAID,8767664,1K08AI108791-01A1,1,K08,AI,108791,1,A1,,10958080,"CAREY, ALISON J.",Not Applicable,DREXEL UNIVERSITY, ,2014,171904,
Genetic Dissection of Cerebellar Circuitry in Cognitive and Affective Behavior,NIMH,8749902,1K08MH104281-01,1,K08,MH,104281,1,,,6924974,"CARLSON, ERIK SEAN",Not Applicable,UNIVERSITY OF WASHINGTON, ,2014,179096,
Bone Marrow Failure in Mice Deficient for the Extracellular Matrix Component; Laminin-gamma1,NHLBI,8868460,1K08HL127187-01,1,K08,HL,127187,1,,,11018525,"CARLSON, KAREN-SUE S",Not Applicable,MEDICAL COLLEGE OF WISCONSIN, ,2015,128655,
The role of PRDM1 in epigenetic regulation and tumor suppression,NCI,8804577,1K99CA190803-01,1,K99,CA,190803,1,,,11202214,"CARLSON, SCOTT MOORE",Not Applicable,STANFORD UNIVERSITY, ,2015,112614,
Modulation of host immune defense by Pneumocystis beta-glucans,NHLBI,8502999,1K08HL112849-01A1,1,K08,HL,112849,1,A1,,10925873,"CARMONA PORQUERA, EVA MARIA",Not Applicable,MAYO CLINIC ROCHESTER, ,2013,127035,
Using extracellular metabolites to understand and revert protumoral effects of Tumor-Associated Macrophages,NCI,8967895,1K99CA191021-01A1,1,K99,CA,191021,1,A1,,12106227,"CARMONA-FONTAINE, CARLOS ",Not Applicable,SLOAN-KETTERING INST CAN RESEARCH, ,2015,135835,
PSMAs role in signal transduction pathway switching in prostate cancer,NCI,8767807,1K01CA188412-01,1,K01,CA,188412,1,,,8116798,"CAROMILE, LESLIE ANN",Not Applicable,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT, ,2014,100396,
Exploration of a Mutant p53 Reactivating Compound,NCI,8584686,1K08CA172676-01A1,1,K08,CA,172676,1,A1,,9842498,"CARPIZO, DARREN RICHARD",Not Applicable,RBHS -CANCER INSTITUTE OF NEW JERSEY, ,2013,158958,
The pathogenesis of insulin resistance in alcoholic liver disease,NIAAA,8509178,1K08AA021424-01A1,1,K08,AA,21424,1,A1,,10468054,"CARR, ROTONYA M.",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2013,182110,
Late life sleep disturbances: Effects on cell stress; telomerase; inflammation,NIA,8635896,1K01AG044462-01A1,1,K01,AG,44462,1,A1,,9830732,"CARROLL, JUDITH E",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2013,125820,
The Role of Nontraditional Glycemic Markers in Diabetes and Albuminuria,NIDDK,8508005,1K01DK095928-01A1,1,K01,DK,95928,1,A1,,11108618,"CARSON, APRIL P",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2013,126513,
mTOR modulation of myelination,NINDS,8566520,1K08NS083710-01,1,K08,NS,83710,1,,,10745276,"CARSON, ROBERT P",Not Applicable,VANDERBILT UNIVERSITY, ,2013,178659,
The Interplay of Behavior; Environment; and Microbiota in Colorectal Cancer Risk,NCI,8967533,1K01CA190559-01A1,1,K01,CA,190559,1,A1,,9563452,"CARSON, TIFFANY LASHAUN",Not Applicable,UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2015,146055,
An epigenomic approach to identifying noncoding mutations in epilepsy,NINDS,8804829,1K99NS089858-01,1,K99,NS,89858,1,,,11230297,"CARVILL, GEMMA LOUISE",Not Applicable,UNIVERSITY OF WASHINGTON, ,2014,91098,
Deciphering the mechanisms and dynamics of proto-gene evolution,NIGMS,8618664,1K99GM108865-01,1,K99,GM,108865,1,,,11135146,"CARVUNIS, ANNE-RUXANDRA ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2014,89996,
Preventing Occupational Infections in Healthcare Professionals Using Risk Models,NIOSH,8967411,1K01OH010757-01A1,1,K01,OH,10757,1,A1,,11122794,"CASANOVA, LISA MARIE",Not Applicable,GEORGIA STATE UNIVERSITY, ,2015,107992,
Redox Regulation of T-lymphocytes in Sympathoexcitation-associated Hypertension,NHLBI,8967026,1K99HL123471-01A1,1,K99,HL,123471,1,A1,,8175676,"CASE, ADAM J",Not Applicable,UNIVERSITY OF NEBRASKA MEDICAL CENTER, ,2015,108000,
The Contribution of Stressful Life Events and Insufficient Sleep to Reward-Related Brain Function and Depression in Adolescent Girls,NIMH,8819876,1K01MH103511-01A1,1,K01,MH,103511,1,A1,,8720488,"CASEMENT, MELYNDA D",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2014,155877,
Seizure focus delineation using spontaneous and stimulus evoked EEG features,NINDS,8891148,1K24NS088568-01A1,1,K24,NS,88568,1,A1,,1927400,"CASH, SYDNEY S",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2015,183827,
Role of Orexin in Conditioned Responding for Saccharin: Implications for Obesity,NIDDK,8635687,1K01DK097351-01A1,1,K01,DK,97351,1,A1,,8727417,"CASON, ANGIE ",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2013,110536,
Clinical prioritization of reported disease variants in asymptomatic individuals,NHGRI,8487872,1K99HG007229-01,1,K99,HG,7229,1,,,8549153,"CASSA, CHRISTOPHER ",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2013,109080,
Host-pathogen interactions during osteomyelitis,NIAID,8762543,1K08AI113107-01,1,K08,AI,113107,1,,,10746962,"CASSAT, JAMES E",Not Applicable,VANDERBILT UNIVERSITY, ,2014,172098,
Evaluation of Very Low Nicotine Content Cigarettes in Adolescent Smokers,NCI,8746191,1K01CA189300-01,1,K01,CA,189300,1,,,10641169,"CASSIDY, RACHEL N",Not Applicable,BROWN UNIVERSITY, ,2014,192132,
A Bayesian Framework for Inter-Modality Deformable Image Registration Evaluation,NCI,8616960,1K01CA181292-01,1,K01,CA,181292,1,,,11169983,"CASTILLO, RICHARD ",Not Applicable,UNIVERSITY OF TX MD ANDERSON CAN CTR, ,2013,119534,
Quantifying Drug Adherence and Drug Exposure to Antiretroviral Therapy,NIAID,8602623,1K23AI104315-01A1,1,K23,AI,104315,1,A1,,10427086,"CASTILLO-MANCILLA, JOSE RAMON",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2013,179350,
PANGEA: Personalized Antibodies for GastroEsophageal Adenocarcinoma Pilot Trial,NCI,8767709,1K23CA178203-01A1,1,K23,CA,178203,1,A1,,9604944,"CATENACCI, DANIEL ",Not Applicable,UNIVERSITY OF CHICAGO, ,2014,169128,
OHSU Women's Reproductive Health Research K12 Program,NICHD,8991408,1K12HD085809-01,1,K12,HD,85809,1,,,6665446,"CAUGHEY, AARON B",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY, ,2015,340200,
An Integrated Approach to Hearing Preservation Among Construction Workers,NIOSH,8968002,1K01OH010761-01A1,1,K01,OH,10761,1,A1,,9220358,"CAVALLARI, JENNIFER M",Not Applicable,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT, ,2015,108000,
TLR4 in obesity-driven liver cancer,NCI,8566474,1K22CA178098-01,1,K22,CA,178098,1,,,10994439,"CAVIGLIA, JORGE MATIAS",Not Applicable,COLUMBIA UNIVERSITY HEALTH SCIENCES, ,2013,130399,
Role of PC1; Pc2 and HDAC6 in cyst formation in ADPKD,NIDDK,8767384,1K08DK103078-01,1,K08,DK,103078,1,,,10326096,"CEBOTARU, VALERIU ",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2014,75844,
A positive psychology intervention to promote health behaviors in heart failure,NHLBI,8891076,1K23HL123607-01A1,1,K23,HL,123607,1,A1,,11767819,"CELANO, CHRISTOPHER M",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2015,142320,
Northwestern University Patient-centered Intervention and Engagement Training,AHRQ,8703401,1K12HS023011-01,1,K12,HS,23011,1,,,1865141,"CELLA, DAVID ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2014,672862,
Estrogen receptors and TrkB mediated neuroprotection in neonatal hypoxia-ischemia,NINDS,8967809,1K08NS088563-01A1,1,K08,NS,88563,1,A1,,9741914,"CENGIZ, PELIN ",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2015,195562,
Wnt/PCP Signaling in the Intestinal Epithelium,NIDDK,8678379,1K01DK101618-01,1,K01,DK,101618,1,,,10792310,"CHA, SANG-WOOK ",Not Applicable,CINCINNATI CHILDRENS HOSP MED CTR, ,2014,128976,
Clinical Research Career Development Program,NCI,8485250,2K12CA087723-11A1,2,K12,CA,87723,11,A1,,1967848,"CHABNER, BRUCE ALLAN",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,809760,
The Engineering of Individualized Anemia Management Protocols,NIDDK,8581233,1K25DK096006-01A1,1,K25,DK,96006,1,A1,,11134197,"CHAIT, YOSSI ",Not Applicable,UNIVERSITY OF MASSACHUSETTS AMHERST, ,2013,168685,
In Vivo Changes in the Lower Extremity Joints and Muscles during Prolonged Standing,NIOSH,8805011,1K01OH010759-01,1,K01,OH,10759,1,,,11654420,"CHAMBERS, APRIL J",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2015,107960,
Urban public housing; neighborhood; and cardiovascular disease in primary care,NHLBI,8803440,1K01HL125466-01,1,K01,HL,125466,1,,,7920984,"CHAMBERS, EARLE C",Not Applicable,ALBERT EINSTEIN COLLEGE OF MEDICINE, ,2015,141345,
Research and Training for Behavioral Oncology Interventions,NCI,8700057,1K05CA175048-01A1,1,K05,CA,175048,1,A1,,1864817,"CHAMPION, VICTORIA LEE",Not Applicable,INDIANA UNIV-PURDUE UNIV AT INDIANAPOLIS, ,2014,96731,
Mentored Patient-Oriented Research in Digestive Diseases,NIDDK,8487704,1K24DK098311-01,1,K24,DK,98311,1,,,7609343,"CHAN, ANDREW T",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,185972,
Mechanisms of Skeletal Stem Cell Aging,NIA,8968029,1K99AG049958-01A1,1,K99,AG,49958,1,A1,,7722509,"CHAN, CHARLES KF",Not Applicable,STANFORD UNIVERSITY, ,2015,127683,
Deciphering the role of ubiquitination in regulating EMT and Cancer Stem Cell,NCI,8617529,1K22CA181412-01,1,K22,CA,181412,1,,,10761607,"CHAN, CHIA-HSIN ",Not Applicable,STATE UNIVERSITY NEW YORK STONY BROOK, ,2014,219758,
Tailoring a HIV prevention intervention for college-aged black women,NINR,8466578,1K01NR013435-01A1,1,K01,NR,13435,1,A1,,8856522,"CHANDLER, RASHEETA ",Not Applicable,UNIVERSITY OF SOUTH FLORIDA, ,2013,89186,
Autoimmunity as a Mechanism for Atherosclerosis in COPD,NHLBI,8860899,1K23HL126912-01,1,K23,HL,126912,1,,,11827113,"CHANDRA, DIVAY ",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2015,132192,
Organization and Dynamics of Premotor and Prefrontal Cortical Circuits Mediating Goal-Directed Behavior,NINDS,8949857,1K99NS092972-01,1,K99,NS,92972,1,,,11416266,"CHANDRASEKARAN, CHANDRAMOULI ",Not Applicable,STANFORD UNIVERSITY, ,2015,88678,
Morbid Obesity; Bariatric Surgery; and Kidney Function,NIDDK,8951204,1K23DK106515-01,1,K23,DK,106515,1,,,11510332,"CHANG, ALEXANDER R",Not Applicable,GEISINGER CLINIC, ,2015,171234,
Brain Connectivity and Mindfulness Training in Youth with Bipolar Disorder NOS,NIMH,8568144,1K24MH101260-01,1,K24,MH,101260,1,,,2216229,"CHANG, KIKI D",Not Applicable,STANFORD UNIVERSITY, ,2013,179839,
OBESITY; COMORBIDITIES; AND ECONOMIC EVALUATIONS OF SURGICAL TREATMENTS OF OBESIT,AHRQ,8566961,1K01HS022330-01,1,K01,HS,22330,1,,,10675721,"CHANG, SU-HSIN ",Not Applicable,WASHINGTON UNIVERSITY, ,2013,104701,
Towards optimizing care for cardiovascular disease in chronic kidney disease,NIDDK,8581432,1K23DK095914-01A1,1,K23,DK,95914,1,A1,,10312008,"CHANG, TARA I-HSIN",Not Applicable,STANFORD UNIVERSITY, ,2013,179610,
A Group Treatment for Diabetes Treatment Adherence and Depression in Hispanics,NIDDK,8581448,1K23DK097356-01A1,1,K23,DK,97356,1,A1,,9843993,"CHANG, TRINA E",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,183607,
Investigating endothelial cell and glomerular anastomoses to advance kidney tissue engineering,NIBIB,8967817,1K08EB018978-01A1,1,K08,EB,18978,1,A1,,10301684,"CHANG, WILLIAM GEE",Not Applicable,YALE UNIVERSITY, ,2015,191526,
RNAs that Resist Degradation in the Cell and the Manipulation of RNA Stability in Living Organisms,NIGMS,8949020,1K99GM115757-01,1,K99,GM,115757,1,,,11633035,"CHAPMAN, ERICH G",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2015,90000,
Lost anaplerosis in Propionic acidemia and Methylmalonic aciduria?,NIDDK,9032934,1K08DK105233-01A1,1,K08,DK,105233,1,A1,,11166232,"CHAPMAN, KIMBERLY ANN",Not Applicable,CHILDREN'S RESEARCH INSTITUTE, ,2015,144612,
Targeting Leukemia with Memory CD8+ T cells Transduced to Express High-Affinity W,NCI,8574854,1K08CA169485-01A1,1,K08,CA,169485,1,A1,,10999859,"CHAPUIS, AUDE ",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER, ,2013,171372,
Ethical challenges of whole genome sequencing in care of critically ill children,NHGRI,9033685,1K01HG008498-01A1,1,K01,HG,8498,1,A1,,12229745,"CHAR, DANTON ",Not Applicable,STANFORD UNIVERSITY, ,2015,233947,
Promoting Healthy Development among Children of Fathers with Antisocial Behavior,NICHD,8967527,1K99HD081273-01A1,1,K99,HD,81273,1,A1,,11206199,"CHARLES, PAJARITA ",Not Applicable,UNIVERSITY OF CHICAGO, ,2015,105869,
Statin Therapy in Acute Influenza,NIGMS,8510152,1K23GM101463-01A1,1,K23,GM,101463,1,A1,,10979469,"CHASE, MAUREEN ",Not Applicable,BETH ISRAEL DEACONESS MEDICAL CENTER, ,2013,161839,
Cardiolipin Biosynthesis and Mitochondrial Energy Production in Pediatric Idiopathic Dilated Cardiomyopathy,NHLBI,8869753,1K08HL127294-01,1,K08,HL,127294,1,,,11263425,"CHATFIELD, KATHRYN C.",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2015,130680,
Recognition of HIV by the Inflammasome Signaling Complex,NIAID,8603101,1K08AI102696-01A1,1,K08,AI,102696,1,A1,,11236050,"CHATTERGOON, MICHAEL ANAND",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2013,185121,
The unique role of B-Raf in murine cardiac development and postnatal function,NHLBI,8506964,1K01HL118677-01,1,K01,HL,118677,1,,,8840946,"CHATTERGOON, NATASHA N",Not Applicable,OREGON HEALTH & SCIENCE UNIVERSITY, ,2013,119957,
Epigenetics and choline: mediation of fetal alcohol effects in a rat model,NIAAA,8442116,1K01AA021134-01A1,1,K01,AA,21134,1,A1,,9012625,"CHEATHAM, CAROL L",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2013,142513,
Center for Molecular & Cellular Studies of Ped Disease,NICHD,8495607,2K12HD043494-11,2,K12,HD,43494,11,,,8703723,"CHEIFETZ, IRA M",Not Applicable,DUKE UNIVERSITY, ,2013,324927,
Primary Care Workforce Study: Examining the Output of U.S. Graduate Medical Educa,NIMHD,8077573,1K22MD006135-01,1,K22,MD,6135,1,,,10501022,"CHEN, CANDICE PAE-LING",Not Applicable,GEORGE WASHINGTON UNIVERSITY, ,2013,197624,
Multiplexed Molecular Imaging of Cell Death Pathways,NHLBI,8765829,1K99HL121152-01A1,1,K99,HL,121152,1,A1,,10460539,"CHEN, HOWARD H.",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2014,136848,
Assessment of outcomes and cost-effectiveness in early orthodontic treatment,NIDCR,8617583,1K23DE023824-01,1,K23,DE,23824,1,,,11675421,"CHEN, JAMES J",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2013,133110,
Data-Mining Clinical Decision Support from Electronic Health Records,NIEHS,9044538,1K01ES026837-01,1,K01,ES,26837,1,,,12558078,"CHEN, JONATHAN H.",Not Applicable,STANFORD UNIVERSITY, ,2015,178606,
Noncanonical NFkB Pathway-Mediated Mechanisms of Common Variable Immunodeficiency,NIAID,8868740,1K08AI116909-01,1,K08,AI,116909,1,,,10643297,"CHEN, KARIN ",Not Applicable,UNIVERSITY OF UTAH, ,2015,187164,
Mapping Expression Quantitative Trait Loci with Next Generation Sequencing in SLE,NIAMS,8425743,1K25AR063761-01,1,K25,AR,63761,1,,,10688978,"CHEN, MIN ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2013,120150,
Juxtacrine regulation of metastasis from brain microenvironments,NCI,8617480,1K22CA181470-01,1,K22,CA,181470,1,,,10943112,"CHEN, QING ",Not Applicable,WISTAR INSTITUTE, ,2015,195990,
Self- and Family-Management Intervention in HIV+ Chinese Women,NINR,8466089,1K23NR014107-01,1,K23,NR,14107,1,,,9286268,"CHEN, WEI-TI ",Not Applicable,YALE UNIVERSITY, ,2013,121309,
Delivery and Adjuvantation of Nicotine Vaccine by Laser Illumination,NIDA,8443098,1K99DA033371-01A1,1,K99,DA,33371,1,A1,,10310557,"CHEN, XINYUAN ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2013,168726,
An integrated approach to dissect the functional network of large non-coding RNA,NCI,8488044,1K99CA175290-01,1,K99,CA,175290,1,,,10338943,"CHEN, YIWEN ",Not Applicable,DANA-FARBER CANCER INST, ,2013,112476,
Membrane-Cytoskeletal Remodeling in Platelet Biogenesis,NHLBI,8891907,1K08HL114871-01A1,1,K08,HL,114871,1,A1,,10733931,"CHEN, YOLANDE ",Not Applicable,NORTHWESTERN UNIVERSITY AT CHICAGO, ,2015,86151,
Learning Patterns of Collaboration to Optimize the Management of Care Providers,NLM,8820357,1K99LM011933-01A1,1,K99,LM,11933,1,A1,,10576401,"CHEN, YOU ",Not Applicable,VANDERBILT UNIVERSITY, ,2015,85959,
Development of infant brain MEG responses to social stimuli: comparison to ASD,NIMH,9014017,1K01MH108822-01,1,K01,MH,108822,1,,,10744253,"CHEN, YU-HAN ",Not Applicable,CHILDREN'S HOSP OF PHILADELPHIA, ,2015,176278,
Drug discovery and mechanistic study of P23H rhodopsin associated retinitis pigmentosa,NEI,8805328,1K99EY024992-01,1,K99,EY,24992,1,,,11740238,"CHEN, YUANYUAN ",Not Applicable,CASE WESTERN RESERVE UNIVERSITY, ,2015,96390,
Hypoxia-Suppressed Dicer and AGO1 Promote Angiogenesis,NHLBI,8678312,1K99HL122368-01,1,K99,HL,122368,1,,,11776065,"CHEN, ZHEN ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2014,134081,
The Role of Periostin and Th2 Cytokines in Eosinophilic Esophagitis Fibrogenesis,NIDDK,8566617,1K08DK099383-01,1,K08,DK,99383,1,,,10243015,"CHENG, EDAIRE ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2013,148711,
Role of DNA Methylation and Hydroxymethylation in Epidermal Homeostasis,NIAMS,8967111,1K08AR067243-01A1,1,K08,AR,67243,1,A1,,10378322,"CHENG, JEFFREY B",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2015,129978,
Calcium Receptor Action in Childhood Diarrhea,NICHD,8679694,1K08HD079674-01,1,K08,HD,79674,1,,,10752477,"CHENG, SAM X",Not Applicable,UNIVERSITY OF FLORIDA, ,2014,121851,
Prognostic Risk Score for Post-Discharge VTE in Surgical Oncology Patients,NIGMS,8488180,1K23GM106406-01,1,K23,GM,106406,1,,,2094269,"CHENG, SARA S",Not Applicable,UNIVERSITY OF COLORADO DENVER, ,2013,11768,
Promoting chemoresistance in the heart,NHLBI,8700877,1K99HL119605-01A1,1,K99,HL,119605,1,A1,,10488531,"CHENG, ZHAOKANG ",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2014,87785,
Mentoring Clinical Researchers at the Intersection of NeuroAIDS and Substance Abuse,NIDA,8993161,1K24DA040550-01,1,K24,DA,40550,1,,,1907452,"CHERNER, MARIANA ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2015,161503,
Neutrophil Subsets in Post-Viral Asthma,NIAID,8581438,1K08AI103037-01A1,1,K08,AI,103037,1,A1,,10220379,"CHEUNG, DOROTHY S.",Not Applicable,MEDICAL COLLEGE OF WISCONSIN, ,2013,133917,
Age and genetic influence on fcMRI networks in autosomal dominant and sporadic AD,NIA,8967387,1K23AG049087-01A1,1,K23,AG,49087,1,A1,,6688552,"CHHATWAL, JASMEER P",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2015,164160,
Morphine Pharmacogenomics to Predict Risk of Respiratory Depression in Children,NICHD,8767094,1K23HD082782-01A1,1,K23,HD,82782,1,A1,,10863698,"CHIDAMBARAN, VIDYA ",Not Applicable,CINCINNATI CHILDRENS HOSP MED CTR, ,2014,131085,
South Carolina Clinical & Translational Research Institute (SCTR),NCATS,9085948,1KL2TR001452-01,1,KL2,TR,1452,1,,,2083961,"CHIMOWITZ, MARC IVOR",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2015,485397,
The Serotonin Transporter in Pulmonary Arterial Hypertension,NHLBI,8437026,1K23HL105784-01A1,1,K23,HL,105784,1,A1,,9816833,"CHIN, KELLY ",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2013,128589,
Neuroeconomics of Framing Effects and Risk Attitudes in Early Dementia,NIA,8581646,1K23AG043553-01A1,1,K23,AG,43553,1,A1,,10324985,"CHIONG, WINSTON ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2013,160110,
Inhibitory regulation of dendritic calcium signals in the prefrontal cortex,NIMH,8509275,1K01MH097961-01A1,1,K01,MH,97961,1,A1,,6270090,"CHIU, CHIAYU ",Not Applicable,YALE UNIVERSITY, ,2013,121356,
The role of nociceptor neurons in bacterial host defense and inflammation,NIAID,8805399,1K22AI114810-01,1,K22,AI,114810,1,,,10729242,"CHIU, ISAAC MING-CHENG",Not Applicable,HARVARD MEDICAL SCHOOL, ,2015,162000,
Analysis of the tumor suppressor gene Tsc1 in motor neuron patterning,NINDS,8568581,1K99NS083758-01,1,K99,NS,83758,1,,,8504731,"CHIVATAKARN, ONANONG ",Not Applicable,SALK INSTITUTE FOR BIOLOGICAL STUDIES, ,2013,86260,
Intestinal innate immunity by the IRE1-RIDD pathway,NIDDK,8903614,1K01DK102828-01A1,1,K01,DK,102828,1,A1,,9556027,"CHO, JIN AH",Not Applicable,BOSTON CHILDREN'S HOSPITAL, ,2015,154131,
Tim3 is a novel regulator of dendritic cell-T cell interactions in influenza,NIAID,8762679,1K08AI113083-01,1,K08,AI,113083,1,,,9832517,"CHO, JOSALYN L",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2014,185792,
