Project Title,Administering  IC,Application ID,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Organization Name,ARRA Indicator,FY,FY Total Cost ,FY Total Cost  (Sub Projects)
Smartband/smartphone-based automatic smoking detection and real time mindfulness intervention,NCCIH,9724682,1R34AT010365-01,1,R34,AT,10365,1,,,10692072,"GARRISON, KATHLEEN A.",Not Applicable,YALE UNIVERSITY, ,2019,376875,
Trial of Oral Doxycycline for the Treatment of Childhood Lyme Meningitis,NIAID,9412367,1R34AI134558-01,1,R34,AI,134558,1,,,9875940,"GARRO, ARIS C",Not Applicable,RHODE ISLAND HOSPITAL, ,2018,261693,
Mobile After-Care Support Intervention for Patients with Schizophrenia following Hospitalization,NIMH,9587590,1R34MH115144-01A1,1,R34,MH,115144,1,A1,,7077449,"GAUDIANO, BRANDON A ","MOITRA, ETHAN ","BUTLER HOSPITAL (PROVIDENCE, RI)", ,2018,245797,
Making Friends with Yourself--A Depression Prevention Program for Adolescent Girls,NCCIH,9163295,1R34AT008822-01A1,1,R34,AT,8822,1,A1,,1911089,"GAYLORD, SUSAN ",Not Applicable,UNIV OF NORTH CAROLINA CHAPEL HILL, ,2016,228000,
An Adaptive Strategy for Preventing and Treating Lapses of Retention in Adult HIV Care II (ADAPT-R II),NIMH,9846949,1R34MH121224-01,1,R34,MH,121224,1,,,9207067,"GENG, ELVIN H. ","PETERSEN, MAYA LIV",WASHINGTON UNIVERSITY, ,2019,193954,
ED-Initiated School-based Asthma Medication Supervision (ED-SAMS),NHLBI,9529073,1R34HL137851-01A1,1,R34,HL,137851,1,A1,,6526803,"GERALD, LYNN B ","DENNINGHOFF, KURT R",UNIVERSITY OF ARIZONA, ,2018,388429,
Oxfendazole as a Broad Spectrum Deworming Medicine in Humans: Phase II Efficacy Study in Geohelminths,NIAID,9143283,1R34AI124954-01,1,R34,AI,124954,1,,,1868764,"GILMAN, ROBERT H",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2016,233227,
Alcohol and Violence Prevention for College Students,NIAAA,9456111,1R34AA025691-01A1,1,R34,AA,25691,1,A1,,10399248,"GILMORE, AMANDA KATHERINE",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2018,253889,
A guided imagery tobacco cessation intervention delivered by a quitline and website,NCCIH,9177876,1R34AT008947-01A1,1,R34,AT,8947,1,A1,,2796745,"GORDON, JUDITH S",Not Applicable,UNIVERSITY OF ARIZONA, ,2016,278122,
Shikamana PrEP: A Community Participatory Approach to Integrating PrEP; Sexual Health; and Mental Health Services for GBMSM in Kenya,NIMH,9694974,1R34MH118950-01,1,R34,MH,118950,1,,,8254849,"GRAHAM, SUSAN MARIE ","HARPER, GARY W",UNIVERSITY OF WASHINGTON, ,2019,204244,
Improving PrEP Availability and Access for Populations at High Risk for HIV: Social Network Tools that Improve Uptake of Innovative Medical Best Practice,NIMH,9410896,1R34MH114696-01,1,R34,MH,114696,1,,,9346040,"GREEN, HAROLD D.",Not Applicable,RAND CORPORATION, ,2017,239497,
Mind/Body Interventions for Chronic Low Back and Neck Pain in Military Personnel,NCCIH,9086964,1R34AT009073-01,1,R34,AT,9073,1,,,8740820,"GROESSL, ERIK J",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN DIEGO", ,2016,166106,
Web-Based Treatment for Perinatal Opioid Use Disorder,NIDA,9585836,1R34DA046730-01,1,R34,DA,46730,1,,,9715478,"GUILLE, CONSTANCE ",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2019,336375,
Resveratrol and Sirolimus in LAM Trial (RESULT),NHLBI,9374597,1R34HL138235-01,1,R34,HL,138235,1,,,14220048,"GUPTA, NISHANT ",Not Applicable,UNIVERSITY OF CINCINNATI, ,2017,250025,
Building and pilot testing a couples-based smartphone systems to address alcohol use disorder,NIAAA,9455330,1R34AA025675-01A1,1,R34,AA,25675,1,A1,,1864813,"GUSTAFSON, DAVID H",Not Applicable,UNIVERSITY OF WISCONSIN-MADISON, ,2018,280095,
Planning the mPACT Trial - mHealth strategies for the Pediatric to Adult HIV Care Transition,NIMH,9481982,1R34MH114834-01A1,1,R34,MH,114834,1,A1,,8747579,"GUTHRIE, BRANDON LODGE",Not Applicable,UNIVERSITY OF WASHINGTON, ,2018,235471,
A Pilot Randomized Controlled Trial of De Novo Belatacept-Based Immunosuppression in Lung Transplantation,NHLBI,9529156,1R34HL138186-01A1,1,R34,HL,138186,1,A1,,10386332,"HACHEM, RAMSEY  ","HUANG, HOWARD J;SCHECHTMAN, KENNETH B.",WASHINGTON UNIVERSITY, ,2018,250034,
Predictors of Outcomes in MBSR Participants from Teacher Factors,NCCIH,9178233,1R34AT008948-01A1,1,R34,AT,8948,1,A1,,2089486,"HECHT, FREDERICK M ","BREWER, JUDSON A","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2016,380297,
Phase II trial of extended release exenatide (Bydureon) and teplizumab in patients with new onset Type 1 Diabetes.,NIAID,9143838,1R34AI120909-01A1,1,R34,AI,120909,1,A1,,1944656,"HEROLD, KEVAN C",Not Applicable,YALE UNIVERSITY, ,2016,251250,
Type 2 Diabetes Prevention in Community Health Care Settings for at Risk Children and Mothers,NIDDK,9591227,1R34DK118486-01,1,R34,DK,118486,1,,,9725948,"HINGLE, MELANIE DANIELA ","MARRERO, DAVID GRAYSON",UNIVERSITY OF ARIZONA, ,2018,229021,
Developing a Gender-Enhanced PrEP Information-Motivation Workshop for Young South African Women,NIMH,9618922,1R34MH115781-01A1,1,R34,MH,115781,1,A1,,8185405,"HOFFMAN, SUSIE  ","RAMJEE, GITA ",NEW YORK STATE PSYCHIATRIC INSTITUTE, ,2018,204610,
Corrections2Community: Post-release retention in HIV care for ex-inmates in South Africa,NIMH,9481618,1R34MH115777-01,1,R34,MH,115777,1,,,8321094,"HOFFMANN, CHRISTOPHER J",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2018,285048,
Home link: Post hospital care to reduce HIV mortality in South Africa,NIMH,9780333,1R34MH118998-01A1,1,R34,MH,118998,1,A1,,8321094,"HOFFMANN, CHRISTOPHER J",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2019,275763,
Testing a System-level Implementation Intervention to Improve the Quality of Family-Based Services for Adolescent Substance Use,NIDA,9402180,1R34DA044740-01,1,R34,DA,44740,1,,,8568651,"HOGUE, AARON ",Not Applicable,NATIONAL CENTER ON ADDICTION/SUB ABUSE, ,2017,257322,
Fidelity Training and Feedback System for Adolescent Externalizing Problems,NIMH,9585884,1R34MH117212-01,1,R34,MH,117212,1,,,8568651,"HOGUE, AARON ",Not Applicable,NATIONAL CENTER ON ADDICTION/SUB ABUSE, ,2018,259999,
PrEP iT! A Pilot Test of a Mobile Peer Support Intervention to Optimize PrEP Adherence and Retention in PrEP Care,NIMH,9698690,1R34MH116878-01A1,1,R34,MH,116878,1,A1,,9169292,"HORVATH, KEITH JOSEPH ","BAKER, JASON V",UNIVERSITY OF MINNESOTA, ,2019,236252,
Yoga online: Inter-conception care to prevent PTSD symptoms after stillbirth,NCCIH,9143370,1R34AT008808-01A1,1,R34,AT,8808,1,A1,,8749160,"HUBERTY, JENNIFER LYNNE",Not Applicable,ARIZONA STATE UNIVERSITY-TEMPE CAMPUS, ,2016,157306,
Developing an HIV prevention intervention for young MSM through improved parent-child communication,NIMH,9271659,1R34MH112445-01,1,R34,MH,112445,1,,,7902755,"HUEBNER, DAVID M",Not Applicable,GEORGE WASHINGTON UNIVERSITY, ,2017,207730,
Prospective Assessment of Premature Ventricular Contractions Suppression in Cardiomyopathy(PAPS): A Pilot Study,NHLBI,9372611,1R34HL138110-01,1,R34,HL,138110,1,,,10080025,"HUIZAR, JOSE FRANCISCO ","DE MARCO, TERESA ;ELLENBOGEN, KENNETH ALAN;GERSTENFELD, EDWARD PAUL;GORCSAN, JOHN ;HUNDLEY, WILLIAM GREGORY;MORILLO, CARLOS ;SIMA, ADAM PAUL","MCGUIRE RESEARCH INSTITUTE, INC.", ,2017,236047,
iTransition: Developing and Pilot Testing a Multilevel Technology-Based Intervention to Support Youth Living with HIV from Adolescent to Adult Care,NIMH,9779152,1R34MH116805-01A1,1,R34,MH,116805,1,A1,,11104829,"HUSSEN, SOPHIA A. ","TANNER, AMANDA E",EMORY UNIVERSITY, ,2019,227425,
A Mind-Body Intervention to reduce symptoms among people aging with HIV,NCCIH,9567357,1R34AT009966-01,1,R34,AT,9966,1,,,8672083,"IBANEZ, GLADYS EULALIA",Not Applicable,FLORIDA INTERNATIONAL UNIVERSITY, ,2018,201418,
Reducing cannabis use for sleep among adults using medical cannabis,NIDA,9647911,1R34DA047466-01,1,R34,DA,47466,1,,,8569226,"ILGEN, MARK A. ","ARNEDT, J. TODD ",UNIVERSITY OF MICHIGAN AT ANN ARBOR, ,2018,234000,
Treat-to-target and personalized approach to periodontal therapy,NIDCR,9434745,1R34DE027410-01,1,R34,DE,27410,1,,,8904518,"IOANNIDOU, EFTHIMIA ",Not Applicable,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT, ,2018,270669,
Integration of Yoga and Mindfulness for the Treatment of Obesity in Adults,NCCIH,9222327,1R34AT009361-01,1,R34,AT,9361,1,,,1893525,"JAKICIC, JOHN M",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2017,357326,
IMPACCT ? Infrastructure for Musculoskeletal Pediatric Acute Care Clinical Trials,NIAMS,9737480,1R34AR075303-01,1,R34,AR,75303,1,,,11308231,"JANICKI, JOSEPH A",Not Applicable,LURIE CHILDREN'S HOSPITAL OF CHICAGO, ,2019,335708,
Improving Measurement-Based Care in Youth Mental Health: A Comparison of Unidimensional and Multidimensional Approaches,NIMH,9806254,1R34MH118316-01A1,1,R34,MH,118316,1,A1,,8205873,"JENSEN-DOSS, AMANDA  ","DOUGLAS, SUSAN RAE",UNIVERSITY OF MIAMI CORAL GABLES, ,2019,238986,
Cell-Based Autogenous Grafting for the Treatment of Femoral Head Osteonecrosis,NIAMS,9659667,1R34AR073505-01A1,1,R34,AR,73505,1,A1,,7055195,"JONES, LYNNE C. ","GOODMAN, STUART B;MONT, MICHAEL ",JOHNS HOPKINS UNIVERSITY, ,2019,251848,
Neuroprotective Treatment Trial Planning in REM Sleep Behavior Disorder,NIA,9530279,1R34AG056639-01A1,1,R34,AG,56639,1,A1,,11017963,"JU, YO-EL S ","BOEVE, BRADLEY F",WASHINGTON UNIVERSITY, ,2018,411509,
Using Ecological Momentary Interventions to Increase Skill Acquisition and Utilization,NIMH,9504845,1R34MH116021-01,1,R34,MH,116021,1,,,11514430,"JUARASCIO, ADRIENNE SARAH",Not Applicable,DREXEL UNIVERSITY, ,2018,271050,
Development and pilot testing of a multimodal web-based program to address heavy drinking during smoking cessation,NIAAA,9017537,1R34AA024593-01,1,R34,AA,24593,1,,,1954721,"KAHLER, CHRISTOPHER W.",Not Applicable,BROWN UNIVERSITY, ,2016,323614,
Brief couples-based alcohol intervention for HIV-infected MSM and their primary partners,NIAAA,9345106,1R34AA024703-01A1,1,R34,AA,24703,1,A1,,1954721,"KAHLER, CHRISTOPHER W. ","GAMAREL, KRISTINE E",BROWN UNIVERSITY, ,2018,245781,
Feasibility and preliminary effectiveness of a transdiagnostic cognitive behavioral therapy treatment approach for alcohol misuse integrated within HIV care in Zambia,NIAAA,9623505,1R34AA027200-01,1,R34,AA,27200,1,,,11065650,"KANE, JEREMY CALVIN ","VINIKOOR, MICHAEL JEFFREY",JOHNS HOPKINS UNIVERSITY, ,2018,221284,
Standing Tall - A Pilot Randomized Controlled Trial of a Community-Based Intervention to Improve Health Outcomes for Newly Diagnosed HIV-Positive Young Adults in South Africa,NIMH,9558525,1R34MH114897-01A1,1,R34,MH,114897,1,A1,,10005639,"KATZ, INGRID T.",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2018,278535,
CABG vs. PCI to Improve Outcomes in Systolic Heart Failure: A Pilot Feasibility Study - Resubmission - 1,NHLBI,9667544,1R34HL141621-01A1,1,R34,HL,141621,1,A1,,1882834,"KATZ, STUART D",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2019,379014,
Examining Behavioral Strategies for Enhancing Therapists' Delivery of Exposure Therapy,NIMH,9641707,1R34MH118199-01,1,R34,MH,118199,1,,,14641364,"KEMP, JOSHUA ",Not Applicable,EMMA PENDLETON BRADLEY HOSPITAL, ,2019,162209,
PrEP Demonstration Project among Women at Risk for HIV Infection,NIMH,9844657,1R34MH118044-01A1,1,R34,MH,118044,1,A1,,8389164,"KEMPF, MIRJAM-COLETTE  ","PSAROS, CHRISTINA ",UNIVERSITY OF ALABAMA AT BIRMINGHAM, ,2019,249691,
Determining the Accuracy of Cephalosporin Allergy Testing,NIAID,9625020,1R34AI134569-01A1,1,R34,AI,134569,1,A1,,6594436,"KHAN, DAVID A",Not Applicable,UT SOUTHWESTERN MEDICAL CENTER, ,2019,292598,
Activating personal network support in treatment seeking substance users,NIDA,9314159,1R34DA042320-01A1,1,R34,DA,42320,1,A1,,1875197,"KIDORF, MICHAEL S",Not Applicable,JOHNS HOPKINS UNIVERSITY, ,2017,286052,
Development and Pilot Testing of a Combination Intervention to Reduce Heavy Drinking and Improve HIV Care Engagement among Fisherfolk in Uganda,NIAAA,9349070,1R34AA025891-01,1,R34,AA,25891,1,,,7970713,"KIENE, SUSAN MARIA",Not Applicable,SAN DIEGO STATE UNIVERSITY, ,2018,191422,
Improving uptake and adherence to HIV prevention services with PrEP; HIV self-testing and adherence support for very high risk HIV-negative young women aged 15-24 in Kampala; Uganda,NIMH,9403965,1R34MH114523-01,1,R34,MH,114523,1,,,11202150,"KING, RACHEL LISA",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2017,190400,
Y2Prevent: Preventing Drug Use and HIV through Empowerment; Social Support and Mentorship,NIDA,9621916,1R34DA044106-01A1,1,R34,DA,44106,1,A1,,1891027,"KIPKE, MICHELE D.",Not Applicable,CHILDREN'S HOSPITAL OF LOS ANGELES, ,2018,267854,
Enhancing effectiveness of existing weight management programs for teens with severe obesity: A 6-month feasibility pilot study,NIDDK,9591897,1R34DK118510-01,1,R34,DK,118510,1,,,8657099,"KIRK, SHELLEY ",Not Applicable,CINCINNATI CHILDRENS HOSP MED CTR, ,2018,249211,
A Phase I/II Trial of the Safety; Tolerability and Immunogenicity of a Live Attenuated Tetravalent Dengue Virus Vaccine in Adults in Dengue-Endemic Bangladesh,NIAID,8994907,1R34AI120917-01,1,R34,AI,120917,1,,,2544457,"KIRKPATRICK, BETH DIANE",Not Applicable,UNIVERSITY OF VERMONT & ST AGRIC COLLEGE, ,2016,233979,
Real-Time Intervention for Reducing Suicide Risk.,NIMH,9587570,1R34MH113757-01A1,1,R34,MH,113757,1,A1,,14308922,"KLEIMAN, EVAN ",Not Applicable,HARVARD UNIVERSITY, ,2018,298856,
Increasing Family Engagement and Treatment Initiation Through Family Assessment; Motivation;and Linkage Intervention (FAMLI),NIDA,9807674,1R34DA049079-01,1,R34,DA,49079,1,,,6797190,"KNIGHT, DANICA K",Not Applicable,TEXAS CHRISTIAN UNIVERSITY, ,2019,218207,
Mindfulness-Based ADHD Treatment for Children: a Feasibility Study,NCCIH,9746277,1R34AT009887-01A1,1,R34,AT,9887,1,A1,,9550425,"KOBER, HEDY  ","LECKMAN, JAMES F",YALE UNIVERSITY, ,2019,167500,
Immediate Fast-Track versus Standard Care for Persons Living with HIV in Haiti: A Randomized Pilot Study,NIMH,9482056,1R34MH114739-01A1,1,R34,MH,114739,1,A1,,7947542,"KOENIG, SERENA PATRICIA",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2018,191642,
A Sleep Hygiene Intervention to Improve Sleep Quality in Urban; Latino Middle School Children,NHLBI,9385058,1R34HL135073-01A1,1,R34,HL,135073,1,A1,,7539341,"KOINIS MITCHELL, DAPHNE  ","CANINO, GLORISA J",RHODE ISLAND HOSPITAL, ,2017,249529,
Treatment of chronic low back pain with transcutaneous auricular vagus nerve stimulation,NIDA,9745990,1R34DA046635-01A1,1,R34,DA,46635,1,A1,,7852891,"KONG, JIAN ",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2019,252000,
Planning for the Metformin for TB/HIV Host-directed Therapy (METHOD) Trial,NIAID,9138531,1R34AI124826-01,1,R34,AI,124826,1,,,1876590,"KORNFELD, HARDY ",Not Applicable,UNIV OF MASSACHUSETTS MED SCH WORCESTER, ,2016,253930,
Integrated Prevention of HIV risk and Intimate Partner Violence among Adolescents in South Africa,NIMH,9349026,1R34MH113484-01,1,R34,MH,113484,1,,,9214115,"KUO, CAROLINE CHIA ","MATHEWS, CATHERINE ",BROWN UNIVERSITY, ,2017,260180,
Traumatic Injury Clinical Trial Evaluating Tranexamic Acid in Children (TIC-TOC),NHLBI,9225008,1R34HL135214-01,1,R34,HL,135214,1,,,6625486,"KUPPERMANN, NATHAN  ","NISHIJIMA, DANIEL KIDEN",UNIVERSITY OF CALIFORNIA AT DAVIS, ,2017,405303,
Adapting an Effective CBT for Comorbidity to a Computer-Delivered Format,NIAAA,9298235,1R34AA025761-01,1,R34,AA,25761,1,,,1884345,"KUSHNER, MATT G",Not Applicable,UNIVERSITY OF MINNESOTA, ,2017,229125,
Planning Grant for CARISMA - Cancer therapy Risk-reduction with Intensive Systolic BP Management,NHLBI,9724795,1R34HL146927-01,1,R34,HL,146927,1,,,9355158,"KY, BONNIE  ","MARGULIES, KENNETH BER",UNIVERSITY OF PENNSYLVANIA, ,2019,385361,
Extension and Online Adaptation of the FITSTART parent-based intervention to reduce drinking among first-year students,NIAAA,9669921,1R34AA026422-01A1,1,R34,AA,26422,1,A1,,6434959,"LABRIE, JOSEPH W",Not Applicable,LOYOLA MARYMOUNT UNIVERSITY, ,2018,278806,
Early Stage Identification and Engagement to Reduce Duration of Untreated Psychosis (EaSIE),NIMH,9457105,1R34MH115463-01,1,R34,MH,115463,1,,,10562046,"LANDA, YULIA ",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2017,283392,
Peer Navigation to Improve Engagement in Care for HIV-Positive MSM in South Africa,NIMH,9065401,1R34MH109395-01,1,R34,MH,109395,1,,,7343083,"LANE, TIM ",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2016,254677,
Piloting a naloxone intervention in an emergency response community to reduce opioid overdoses in Philadelphia,NIDA,9403417,1R34DA044758-01,1,R34,DA,44758,1,,,2110336,"LANKENAU, STEPHEN E ","SCHWARTZ, DAVID GARY",DREXEL UNIVERSITY, ,2017,227896,
Development of Brief Interventions for Alcohol; Marijuana; and Sleep Problems in Young Adults,NIAAA,9745276,1R34AA026909-01A1,1,R34,AA,26909,1,A1,,1899193,"LARIMER, MARY E.",Not Applicable,UNIVERSITY OF WASHINGTON, ,2019,208804,
Combination Osteoporosis Therapy and Fracture Reduction,NIAMS,9593079,1R34AR074114-01,1,R34,AR,74114,1,,,2052786,"LEDER, BENJAMIN Z",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2018,235250,
Development and Pilot Investigation of Heart Rate Variability Biofeedback for Smoking Cessation,NIDA,9456147,1R34DA043751-01A1,1,R34,DA,43751,1,A1,,9159556,"LEYRO, TERESA MARIA",Not Applicable,"RUTGERS, THE STATE UNIV OF N.J.", ,2018,232500,
Facilitating the Decentralization of Methadone Maintenance Therapy Services into Communities in Vietnam,NIDA,9601229,1R34DA043783-01A1,1,R34,DA,43783,1,A1,,10134937,"LIN, CHUNQING ",Not Applicable,UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2018,319930,
Promoting Skill Utilization to Enhance Treatment for Childhood Behavior Problems,NIMH,9015543,1R34MH106619-01A1,1,R34,MH,106619,1,A1,,10188958,"LINDHIEM, OLIVER JAMES",Not Applicable,UNIVERSITY OF PITTSBURGH AT PITTSBURGH, ,2016,339805,
Engaging Black Youth in Depression and Suicide Prevention Treatment within Urban Schools: A Preliminary Study,NIMH,9725522,1R34MH119290-01,1,R34,MH,119290,1,,,3141381,"LINDSEY, MICHAEL A.",Not Applicable,NEW YORK UNIVERSITY, ,2019,241592,
Mobile Technology and Incentives (MOTIVES) for Racial and Ethnic Minorities in Los Angeles; CA,NIMH,9199701,1R34MH109373-01A1,1,R34,MH,109373,1,A1,,10299471,"LINNEMAYR, SEBASTIAN ",Not Applicable,RAND CORPORATION, ,2016,253649,
Improving Health Outcomes for Women Living with HIV,NIMH,9203894,1R34MH112177-01,1,R34,MH,112177,1,,,9359756,"LIPPMAN, SHERI ANN",Not Applicable,"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2017,188312,
Refining and piloting a text messaging intervention to delay alcohol initiation and reduce alcohol use escalation among abstainer and lighter drinker college students,NIAAA,9527320,1R34AA026004-01A1,1,R34,AA,26004,1,A1,,10742432,"LITT, DANA M",Not Applicable,UNIVERSITY OF NORTH TEXAS HLTH SCI CTR, ,2018,209875,
Development and Pilot of a Parent Based Intervention for Reducing High-risk Social Networking Site Cognitions; Alcohol Use; and Negative Consequences Among Adolescents,NIAAA,9692838,1R34AA026332-01A1,1,R34,AA,26332,1,A1,,10742432,"LITT, DANA M",Not Applicable,UNIVERSITY OF NORTH TEXAS HLTH SCI CTR, ,2019,209875,
PrEPmate 211: Developing a mobile app to support the safe and effective use of on-demand PrEP among MSM in the US,NIMH,9845770,1R34MH121139-01,1,R34,MH,121139,1,,,8953109,"LIU, ALBERT YING-HWA",Not Applicable,PUBLIC HEALTH FOUNDATION ENTERPRISES, ,2019,198823,
Reaching Adolescent Girls and Young Women through Girl-friendly Drug Vendors,NIMH,9561658,1R34MH116804-01,1,R34,MH,116804,1,,,10712412,"LIU, JENNY XIN ","MCCOY, SANDRA I","UNIVERSITY OF CALIFORNIA, SAN FRANCISCO", ,2018,335877,
Brief Online Training (BOLT) for Routine Outcome Monitoring: A Low-Cost and Scalable Minimal Intervention Necessary for Change in School Mental Health,NIMH,9223244,1R34MH109605-01A1,1,R34,MH,109605,1,A1,,9700922,"LYON, AARON ROBERT ","MCCAULEY, ELIZABETH ",UNIVERSITY OF WASHINGTON, ,2017,193489,
Targeting Inflammation and Alloimmunity in Heart Transplant Recipients with Tocilizumab,NIAID,9143892,1R34AI125058-01,1,R34,AI,125058,1,,,1882778,"MADSEN, JOREN C",Not Applicable,MASSACHUSETTS GENERAL HOSPITAL, ,2016,293025,
Diabetes to Go Inpatient,NIDDK,9103285,1R34DK109503-01,1,R34,DK,109503,1,,,9817375,"MAGEE, MICHELLE FISCHMANN",Not Applicable,MEDSTAR HEALTH RESEARCH INSTITUTE, ,2016,235500,
Augmenting cognitive behavioral therapy with inhibitory control training,NIMH,9805416,1R34MH118353-01A1,1,R34,MH,118353,1,A1,,11943575,"MANASSE, STEPHANIE ",Not Applicable,DREXEL UNIVERSITY, ,2019,234750,
Culturally Modified Family Based Therapy for Haitian Youth and Their Families in South Florida,NIDA,9529745,1R34DA043784-01A1,1,R34,DA,43784,1,A1,,2102075,"MARCELIN, LOUIS HERNS",Not Applicable,UNIVERSITY OF MIAMI CORAL GABLES, ,2018,309223,
Comparative effectiveness of spironolactone versus oral tetracycline-class antibiotics for the treatment of moderate to severe acne in women,NIAMS,9815052,1R34AR074733-01A1,1,R34,AR,74733,1,A1,,2044781,"MARGOLIS, DAVID J.",Not Applicable,UNIVERSITY OF PENNSYLVANIA, ,2019,249480,
A Family-Based Alcohol Preventive Intervention for Latino Emerging Adults,NIAAA,9115485,1R34AA023994-01A1,1,R34,AA,23994,1,A1,,2478368,"MARTINEZ, CHARLES R ","SCHWARTZ, SETH J.",UNIVERSITY OF OREGON, ,2016,123735,
An Integrated Brief Alcohol and PTSD Intervention for Veterans in Primary Care,NIAAA,9519112,1R34AA026745-01,1,R34,AA,26745,1,,,8838429,"MASTROLEO, NADINE RACHEL ","POSSEMATO, KYLE ","STATE UNIVERSITY OF NY,BINGHAMTON", ,2018,187743,
Epitope mismatch and medication nonadherence,NIAID,9137126,1R34AI118416-01A1,1,R34,AI,118416,1,A1,,1888243,"MATAS, ARTHUR J",Not Applicable,UNIVERSITY OF MINNESOTA, ,2016,245238,
Personalizing Parent Training Interventions for Culturally Diverse Families,NIMH,9088106,1R34MH109561-01,1,R34,MH,109561,1,,,2095217,"MC CABE, KRISTEN M ","YEH, MAY ",UNIVERSITY OF SAN DIEGO, ,2016,206594,
Evaluating N-acetylcysteine as a pharmacotherapy for tobacco use disorder,NIDA,9165447,1R34DA042228-01,1,R34,DA,42228,1,,,8409004,"MCCLURE, ERIN A",Not Applicable,MEDICAL UNIVERSITY OF SOUTH CAROLINA, ,2016,257780,
Leveraging technology to address unhealthy drug use in primary care settings,NIDA,9016861,1R34DA040830-01,1,R34,DA,40830,1,,,10381197,"MCNEELY, JENNIFER ",Not Applicable,NEW YORK UNIVERSITY SCHOOL OF MEDICINE, ,2016,254250,
Does the Addition of Cognitive Remediation to Coordinated Specialty Care Services Improve Functional Outcome?,NIMH,9646632,1R34MH118318-01,1,R34,MH,118318,1,,,8549667,"MEDALIA, ALICE ",Not Applicable,NEW YORK STATE PSYCHIATRIC INSTITUTE, ,2019,224299,
School-Based Depression Prevention for Adolescents with ADHD,NIMH,9582495,1R34MH117086-01,1,R34,MH,117086,1,,,11444306,"MEINZER, MICHAEL CHRISTOPHER ","CHRONIS-TUSCANO, ANDREA ","UNIV OF MARYLAND, COLLEGE PARK", ,2018,222673,
Promoting Maternal Mental Health and Wellbeing in Neonatal Intensive Care Through Mindfulness,NCCIH,9389583,1R34AT009615-01,1,R34,AT,9615,1,,,8904152,"MENDELSON, TAMAR  ","SIBINGA, ERICA MARIA SMIT",JOHNS HOPKINS UNIVERSITY, ,2017,245313,
Development and Pilot Testing of a Persuasive Health Communication Intervention for Emergency Department Patients Who Decline Rapid HIV/HCV Screening,NIDA,9478472,1R34DA045544-01,1,R34,DA,45544,1,,,7263073,"MERCHANT, ROLAND C",Not Applicable,BRIGHAM AND WOMEN'S HOSPITAL, ,2018,360256,
Trauma-informed Collaborative Care for Low-income African Americans with PTSD,NIMH,9370448,1R34MH111860-01A1,1,R34,MH,111860,1,A1,,1893289,"MEREDITH, LISA SEIDEL",Not Applicable,RAND CORPORATION, ,2017,291458,
Technology-Enhanced Family-Focused Treatment for Adolescents at High Risk for Mood Disorders,NIMH,9587465,1R34MH117200-01,1,R34,MH,117200,1,,,7750960,"MIKLOWITZ, DAVID JAY ","AREVIAN, ARMEN C",UNIVERSITY OF CALIFORNIA LOS ANGELES, ,2018,195000,
CCR5 Analyses in HIV Infected Hematology Patients undergoing Umbilical Cord Blood Allogeneic Transplantation,NHLBI,9561720,1R34HL142322-01,1,R34,HL,142322,1,,,12193465,"MILANO, FILIPPO ",Not Applicable,FRED HUTCHINSON CANCER RESEARCH CENTER, ,2018,339820,
e-Motivacion: Developing and pilot testing an app to improve Latinos screening colonoscopy rates,NIA,9583043,1R34AG059705-01,1,R34,AG,59705,1,,,11019540,"MILLER, SARAH J",Not Applicable,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI, ,2018,226786,
Optimizing PrEP uptake & Adherence among MSWs using a 2-stage randomization design,NIMH,9145451,1R34MH110369-01,1,R34,MH,110369,1,,,8755422,"MIMIAGA, MATTHEW JAMES ","BIELLO, KATIE BROOKS;CHAN, PHILIP ANDREW",BROWN UNIVERSITY, ,2016,264287,
Enhancing Diabetes and Hypertension Self-Management for Rural Appalachian Patients  In Patient-Centered Medical Homes,NHLBI,9824660,1R34HL141721-01A1,1,R34,HL,141721,1,A1,,8001300,"MISRA, RANJITA ",Not Applicable,WEST VIRGINIA UNIVERSITY, ,2019,228000,
