NIHID	NAME	Organization	Project.Title	FY	Activity	Award Category	Source	Other.PI.or.Project.Leader.s.	Project.Number	ARRA.Indicator	FY.Total.Cost	FY.Total.Cost...Sub.Projects.	Stats	Administering..IC	Application.ID	Type	IC	Serial.Number	Support.Year	Suffix	Subproject.Number
10866422	"PUTMAN, MELISSA SUSAN"	Massachusetts General Hospital	Clinical studies of a bionic pancreas for automated glucose management in cystic fibrosis-related diabetes mellitus	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK119699-01	NA	616761	NA	Include	NIDDK	9643451	1	DK	119699	1		NA
10792184	"QI, QIBIN "	Albert Einstein College Of Medicine	Metabolomics signatures underlying diet; lifestyle and gut microbiota for diabetes	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK119268-01	NA	593149	NA	Include	NIDDK	9642889	1	DK	119268	1		NA
1866000	"QUARLES, L DARRYL"	University Of Tennessee Health Sci Ctr	Optimization of Novel Small Molecules to Antagonize FGF-23	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK121132-01	NA	304000	NA	Include	NIDDK	9734533	1	DK	121132	1		NA
9365956	"QUE, JIANWEN "	Columbia University Health Sciences	Signaling Mechanisms Promoting Barrett?s Metaplasia	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK120650-01	NA	444909	NA	Include	NIDDK	9714799	1	DK	120650	1		NA
7892590	"QUINONES, ANA ROMAN"	Oregon Health & Science University	Multimorbidity Combinations and Dementia Onset Among Race/Ethnic Older Adults	2019	RF1	R01Equiv	NIH	Not Applicable	1RF1AG058545-01A1	NA	3634165	NA	Include	NIA	9658046	1	AG	58545	1	A1	NA
8585646	"QUINTANA, FRANCISCO J. "	Brigham And Women's Hospital	AHR-mediated immunosuppression in glioblastoma	2019	R01	R01Equiv	NIH	"SHERR, DAVID H"	1R01ES029136-01A1	NA	503741	NA	Include	NIEHS	9819431	1	ES	29136	1	A1	NA
8543135	"RAJA-KHAN, NAZIA T."	Pennsylvania State Univ Hershey Med Ctr	Randomized Controlled Trial of a Six-Month Mindfulness-Based Intervention for Type 2 Diabetes	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK119379-01	NA	681142	NA	Include	NIDDK	9642067	1	DK	119379	1		NA
6772572	"RAJADHYAKSHA, MILIND  "	Sloan-Kettering Inst Can Research	Confocal video-mosaicking microscopy to guide surgery of superficially spreading skin cancers	2019	R01	R01Equiv	NIH	"CAMPS, OCTAVIA IRMA"	1R01CA240771-01	NA	667106	NA	Include	NCI	9801564	1	CA	240771	1		NA
8419958	"RAJAGOPAL, LAKSHMI  "	Seattle Children's Hospital	Immune Control of Group B Streptococcal Placental	2019	R01	R01Equiv	NIH	"ADAMS WALDORF, KRISTINA M"	1R01AI145890-01	NA	915712	NA	Include	NIAID	9800783	1	AI	145890	1		NA
6908476	"RAM, SANJAY  "	Univ Of Massachusetts Med Sch Worcester	A novel vaccine against multidrug-resistant gonorrhea	2019	R01	R01Equiv	NIH	"RICE, PETER A."	1R01AI141181-01	NA	967287	NA	Include	NIAID	9625276	1	AI	141181	1		NA
6195169	"RAMACHANDRAN, VASAN S "	Boston University Medical Campus	Plasma Proteome and Risk of Alzheimer Dementia and Related Endophenotypes in the Framingham Study	2019	RF1	R01Equiv	NIH	"GERSZTEN, ROBERT E;SESHADRI, SUDHA "	1RF1AG063507-01	NA	4199375	NA	Include	NIA	9763974	1	AG	63507	1		NA
9133472	"RAMASWAMY, MEGHA "	University Of Kansas Medical Center	Tri-City Cervical Cancer Prevention Study among Women in the Justice System	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA226838-01A1	NA	630955	NA	Include	NCI	9656413	1	CA	226838	1	A1	NA
6431718	"RAMESH, RAJAGOPAL "	University Of Oklahoma Hlth Sciences Ctr	An improved IL-24 gene-based therapeutic for cancer	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA233201-01	NA	317518	NA	Include	NCI	9624992	1	CA	233201	1		NA
2092694	"RAMESH, VIJAYA  "	Massachusetts General Hospital	Tuberous Sclerosis Complex Patients iPSC-derived NPCs and NCCs as Human Model Systems to Identify Novel Targets	2019	R01	R01Equiv	NIH	"HAGGARTY, STEPHEN J"	1R01NS109540-01A1	NA	503851	NA	Include	NINDS	9818370	1	NS	109540	1	A1	NA
10890815	"RAMKHELAWON, BHAMA "	New York University School Of Medicine	Macrophage and Vascular Smooth Muscle Cell dialogue: role in aortic aneurysm	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL146627-01	NA	724913	NA	Include	NHLBI	9713999	1	HL	146627	1		NA
7132569	"RAN, QITAO "	University Of Texas Hlth Science Center	Membrane lipid peroxidation in pathogenesis of Alzheimer?s disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG064078-01	NA	384687	NA	Include	NIA	9802111	1	AG	64078	1		NA
9525303	"RASH, CARLA J"	University Of Connecticut Sch Of Med/Dnt	Promoting employment in persons living with HIV/AIDS	2019	R01	R01Equiv	NIH	Not Applicable	1R01DA047183-01	NA	720534	NA	Include	NIDA	9622077	1	DA	47183	1		NA
9772813	"RASTOGI, DEEPA "	Albert Einstein College Of Medicine	Investigating the CDC42 pathway as a novel pathway for pediatric non-atopic obesity-related asthma	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL141849-01A1	NA	450783	NA	Include	NHLBI	9660928	1	HL	141849	1	A1	NA
9486307	"RATHI, YOGESH  "	Brigham And Women's Hospital	Harmonizing multi-site diffusion MRI acquisitions for neuroscientific analysis across ages and brain disorders	2019	R01	R01Equiv	NIH	"O'DONNELL, LAUREN JEAN"	1R01MH119222-01	NA	843974	NA	Include	NIMH	9713100	1	MH	119222	1		NA
2014238	"RAUH, VIRGINIA A "	Columbia University Health Sciences	Brain and Behavioral Indicators of Risk for Parkinsonism among Adolescents with Early Pesticide Exposure	2019	R01	R01Equiv	NIH	"BOWMAN, F. DUBOIS"	1R01ES030039-01	NA	633281	NA	Include	NIEHS	9638302	1	ES	30039	1		NA
1882711	"RAY, WAYNE A"	Vanderbilt University Medical Center	Antipsychotics and the Risk of Unexpected Death in Children and Youth	2019	R01	R01Equiv	NIH	Not Applicable	1R01HD097344-01	NA	668872	NA	Include	NICHD	9635972	1	HD	97344	1		NA
10963785	"REBLIN, MAIJA ANNE"	H. Lee Moffitt Cancer Ctr & Res Inst	A Stepped-care Psychosocial Intervention for Brain Tumor Family Caregivers	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA236034-01A1	NA	425757	NA	Include	NCI	9804802	1	CA	236034	1	A1	NA
11212637	"REDONDO, MARIA JOSE"	Baylor College Of Medicine	Type 1 Diabetes Genetic Risk Score in TrialNet	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK121843-01	NA	610941	NA	Include	NIDDK	9799733	1	DK	121843	1		NA
7776205	"REEVES, ROGER KEITH"	Beth Israel Deaconess Medical Center	Mechanisms of Natural Killer Cell Clearance of SIV from Lymphoid Follicles	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI143457-01	NA	659902	NA	Include	NIAID	9695485	1	AI	143457	1		NA
6878627	"REICHENBERG, ABRAHAM  "	Icahn School Of Medicine At Mount Sinai	Autism Risk and Maternal Cardiometabolic Health (ARCH) study	2019	R01	R01Equiv	NIH	"SCHENDEL, DIANA "	1R01HD098883-01	NA	750752	NA	Include	NICHD	9748687	1	HD	98883	1		NA
1898283	"REICHNER, JONATHAN S "	Rhode Island Hospital	Identification of a Damaging Subset of Neutrophils that Arises in Septic Patients	2019	R01	R01Equiv	NIH	"KIM, MINSOO "	1R01HL147525-01A1	NA	519262	NA	Include	NHLBI	9835142	1	HL	147525	1	A1	NA
10778112	"REMUS, DIRK "	Sloan-Kettering Inst Can Research	Molecular mechanisms of replication-coupled chromatin assembly	2019	R01	R01Equiv	NIH	Not Applicable	1R01GM127428-01A1	NA	510075	NA	Include	NIGMS	9738834	1	GM	127428	1	A1	NA
9801858	"RENDL, MICHAEL "	Icahn School Of Medicine At Mount Sinai	Dermal Papilla Regulation and Function for Stem Cell Activation in the Hair Cycle	2019	R01	R01Equiv	NIH	Not Applicable	1R01AR073259-01A1	NA	471771	NA	Include	NIAMS	9662087	1	AR	73259	1	A1	NA
1881009	"REPASKY, ELIZABETH A "	Roswell Park Cancer Institute Corp	Targeting adrenergic stress pathways to Increase tumor sensitivity to radiation and promote development of an anti-tumor immune response	2019	R01	R01Equiv	NIH	"LORD, EDITH M"	1R01CA236390-01A1	NA	574981	NA	Include	NCI	9765543	1	CA	236390	1	A1	NA
10511799	"RESHEF, RAN "	Columbia University Health Sciences	Effector T-cell trafficking in graft-versus-host disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL143424-01A1	NA	414245	NA	Include	NHLBI	9819343	1	HL	143424	1	A1	NA
9766807	"REYNOLDS, JOSEPH MICHAEL"	Rosalind Franklin Univ Of Medicine & Sci	Molecular regulation of TLR2-mediated autoimmune inflammation	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI141596-01	NA	390000	NA	Include	NIAID	9640978	1	AI	141596	1		NA
11080892	"REZAEE, FARIBA "	Cleveland Clinic Lerner Com-Cwru	Mechanisms of Airway Epithelial Barrier Dysfunction by Respiratory Syncytial Virus and Environmental Stimuli	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL148057-01	NA	437178	NA	Include	NHLBI	9798662	1	HL	148057	1		NA
1901990	"RICE, LOUIS B. "	Rhode Island Hospital	Mechanism and activity of beta-lactam resistant enzymes in E. faecium and E. faecalis	2019	R01	R01Equiv	NIH	"PETI, WOLFGANG "	1R01AI141522-01A1	NA	777570	NA	Include	NIAID	9826820	1	AI	141522	1	A1	NA
1858370	"RICHARDS, JOANNE S"	Baylor College Of Medicine	Novel Aspect of Androgen Action in Ovarian Cell Function and Dysfunction	2019	R01	R01Equiv	NIH	Not Applicable	1R01HD097321-01A1	NA	347406	NA	Include	NICHD	9818746	1	HD	97321	1	A1	NA
1894800	"RICHIE, JOHN P"	Pennsylvania State Univ Hershey Med Ctr	Oxidant Exposure and Related Harm from Tobacco Smoke	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL147344-01	NA	464336	NA	Include	NHLBI	9746849	1	HL	147344	1		NA
10953628	"RIELLA, LEONARDO V."	Brigham And Women's Hospital	Role of Siglec-E in Regulating Alloimmunity	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI143887-01	NA	442187	NA	Include	NIAID	9714382	1	AI	143887	1		NA
1978072	"RISCOE, MICHAEL KEVIN"	Oregon Health & Science University	Development of a Sustained Release Injectable Formulation for Long-Term Delivery of ELQs	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI141412-01A1	NA	833189	NA	Include	NIAID	9816269	1	AI	141412	1	A1	NA
12553684	"RITCHIE, NATALIE DAWN"	Denver Health And Hospital Authority	Enhanced enrollment in the National Diabetes Prevention Program for the underserved: a randomized control trial	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK119478-01A1	NA	585437	NA	Include	NIDDK	9761661	1	DK	119478	1	A1	NA
6193625	"RIVERA, AMARILIZ  "	Rbhs-New Jersey Medical School	Mechanisms of vaccine protection against AIDS-associated Cryptococcus infection	2019	R01	R01Equiv	NIH	"XUE, CHAOYANG "	1R01AI141368-01A1	NA	749562	NA	Include	NIAID	9802190	1	AI	141368	1	A1	NA
9249559	"ROBERTS, ANDREA "	Harvard School Of Public Health	Maternal Exposure to Childhood Abuse and Disparities in Offspring Neurodevelopment: Identifying Mechanisms	2019	R01	R01Equiv	NIH	Not Applicable	1R01HD094725-01A1	NA	735617	NA	Include	NICHD	9661451	1	HD	94725	1	A1	NA
1858883	"ROBERTS, CHARLES T "	Oregon Health & Science University	Effect of obesity on HIV pathogenesis; antiretroviral therapy; and metabolic comorbidities	2019	R01	R01Equiv	NIH	"KIEVIT, PAUL ;SACHA, JONAH B."	1R01DK122843-01	NA	856702	NA	Include	NIDDK	9844799	1	DK	122843	1		NA
1880492	"ROBERTS, THOMAS M"	Dana-Farber Cancer Inst	Molecular mechanisms and therapeutic targeting of PI3K-p110beta/PTEN signaling in breast cancer and cancer immunity	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA233810-01	NA	497522	NA	Include	NCI	9639150	1	CA	233810	1		NA
7839929	"ROBERTSON, DANIELLE M."	Ut Southwestern Medical Center	The role of exosomes in Pseudomonas Aeruginosa Corneal Infection	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY029258-01A1	NA	405000	NA	Include	NEI	9748162	1	EY	29258	1	A1	NA
1894605	"ROBINSON, DELBERT G "	Feinstein Institute For Medical Research	Early-phase Schizophrenia: Practice-based Research to Improve Treatment Outcomes (ESPRITO)	2019	R01	R01Equiv	NIH	"KANE, JOHN M"	1R01MH120594-01	NA	1620699	NA	Include	NIMH	9817331	1	MH	120594	1		NA
11707585	"ROBINSON-COHEN, CASSIANNE "	Vanderbilt University Medical Center	Investigating causality between abnormalities of mineral metabolism and kidney; cardiovascular and bone disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK122075-01	NA	355500	NA	Include	NIDDK	9801487	1	DK	122075	1		NA
1867797	"ROCK, KENNETH L"	Univ Of Massachusetts Med Sch Worcester	Mechanisms of cross-presenting antigens in phagosomes on MHC I molecules to stimulate CD8 T lymphocyte responses	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI145932-01	NA	418750	NA	Include	NIAID	9797712	1	AI	145932	1		NA
14257843	"RODRIGUEZ, MARIA ISABEL"	Oregon Health & Science University	Examining the role of pregnancy coverage in preventing poor obstetric outcomes among Latina immigrants	2019	R01	R01Equiv	NIH	Not Applicable	1R01MD013648-01	NA	453036	NA	Include	NIMHD	9682186	1	MD	13648	1		NA
8858488	"RODRIGUEZ, PAULO CESAR"	H. Lee Moffitt Cancer Ctr & Res Inst	Functional reprogramming of tumor-MDSC through antibody-based therapies targeting Notch ligands	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA233512-01A1	NA	393450	NA	Include	NCI	9817945	1	CA	233512	1	A1	NA
1886655	"ROE, ANNA W."	Oregon Health & Science University	Neural development of foveal vision	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY029753-01	NA	593755	NA	Include	NEI	9642451	1	EY	29753	1		NA
10875553	"ROMBERG, NEIL DAVID"	Children's Hosp Of Philadelphia	Promoter interactome-aided mapping of unexplored CVID genetic landscapes	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI146026-01	NA	606348	NA	Include	NIAID	9801054	1	AI	146026	1		NA
10370180	"ROMERO, JOSE RAFAEL"	Boston University Medical Campus	Enlarged Perivascular Spaces as Markers of Vascular and Alzheimer pathology: predictors; pathophysiology and clinical consequences	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG059725-01A1	NA	631411	NA	Include	NIA	9818489	1	AG	59725	1	A1	NA
6060581	"ROSENKRANZ, JEREMY E"	Rosalind Franklin Univ Of Medicine & Sci	Parallel maturation of social behaviors and amygdala circuits	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH118237-01A1	NA	390000	NA	Include	NIMH	9763157	1	MH	118237	1	A1	NA
10673850	"ROSENSON, ROBERT SIDNEY"	Icahn School Of Medicine At Mount Sinai	Use of High Density Lipoprotein Proteome in the Prediction of Cognitive Impairment and Alzheimer's Disease: (REGARDS)	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG061186-01	NA	757603	NA	Include	NIA	9641731	1	AG	61186	1		NA
1884405	"ROSENZWEIG, ANTHONY "	Massachusetts General Hospital	Role of Activin Type II receptor signaling in age-related heart failure	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG061034-01	NA	594143	NA	Include	NIA	9638792	1	AG	61034	1		NA
7619763	"ROSSO, ISABELLE M"	Mclean Hospital	Multimodal imaging of hippocampal-cortical networks and mechanisms of trauma-related intrusions	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH120400-01	NA	651982	NA	Include	NIMH	9801926	1	MH	120400	1		NA
1871601	"ROTHSTEIN, THOMAS L"	Western Michigan Univ School Of Medicine	Human B1-like Cells and Pneumococcal Defense in the Elderly	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI142004-01	NA	377500	NA	Include	NIAID	9654536	1	AI	142004	1		NA
1862074	"ROY, SHYAMAL K."	University Of Nebraska Medical Center	Novel regulation of early follicle formation	2019	R01	R01Equiv	NIH	Not Applicable	1R01HD093887-01A1	NA	319600	NA	Include	NICHD	9734749	1	HD	93887	1	A1	NA
7373765	"RUBIN, MISHAELA R"	Columbia University Health Sciences	Skeletal Fragility in Type 1 Diabetes: Glycemic Control and Bone Strength	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK122564-01	NA	299700	NA	Include	NIDDK	9832308	1	DK	122564	1		NA
12280906	"RUDEBECK, PETER "	Icahn School Of Medicine At Mount Sinai	Neural mechanisms of affective processing in prefrontal-limbic circuits	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH118638-01A1	NA	619491	NA	Include	NIMH	9818625	1	MH	118638	1	A1	NA
12212215	"RUDERFER, DOUGLAS  "	Vanderbilt University Medical Center	2/2 Leveraging electronic health records for pharmacogenomics of psychiatric diorders	2019	R01	R01Equiv	NIH	"WALSH, COLIN GEORGE"	1R01MH116269-01A1	NA	425000	NA	Include	NIMH	9661173	1	MH	116269	1	A1	NA
1929338	"RUDNER, DAVID Z"	Harvard Medical School	Cell surface biogenesis in Streptococcus pneumoniae	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI139083-01A1	NA	430086	NA	Include	NIAID	9738069	1	AI	139083	1	A1	NA
1922818	"RUNNELS, LOREN W "	Rbhs-Robert Wood Johnson Medical School	Regulation of TRPM7 Channels	2019	R01	R01Equiv	NIH	"YUE, LIXIA "	1R01HL147350-01	NA	561646	NA	Include	NHLBI	9715726	1	HL	147350	1		NA
12179306	"SABET, HAMID "	Massachusetts General Hospital	High performance SPECT System for Cardiac Imaging	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL145160-01	NA	696575	NA	Include	NHLBI	9642177	1	HL	145160	1		NA
9713421	"SADEK, HESHAM "	Ut Southwestern Medical Center	Calcineurin Regulates Cardiomyocyte Cell Cycle Through Meis1 and Hoxb13	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL147276-01	NA	405000	NA	Include	NHLBI	9727840	1	HL	147276	1		NA
6354902	"SADOSHIMA, JUNICHI "	Rbhs-New Jersey Medical School	FoxO1 protects the heart against ischemia	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL144626-01A1	NA	571497	NA	Include	NHLBI	9830379	1	HL	144626	1	A1	NA
6379117	"SAHIN, MUSTAFA "	Boston Children's Hospital	Disrupted ciliary signaling in the brain pathology of Tuberous Sclerosis Complex	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS113591-01	NA	683544	NA	Include	NINDS	9840162	1	NS	113591	1		NA
10491478	"SAHOO, SUSMITA "	Icahn School Of Medicine At Mount Sinai	AAV-Exosomes: Escaping Neutralizing Antibody and Enhancing Delivery	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL148786-01	NA	816898	NA	Include	NHLBI	9811209	1	HL	148786	1		NA
9189023	"SALSMAN, JOHN  "	Wake Forest University Health Sciences	Using MOST to EMPOWER: Optimizing an Emotion Regulation Intervention to Enhance Well-being Among Young Adult Cancer Survivors	2019	R01	R01Equiv	NIH	"MOSKOWITZ, JUDITH T"	1R01CA242849-01	NA	368264	NA	Include	NCI	9820588	1	CA	242849	1		NA
1881059	"SALTON, STEPHEN R "	Icahn School Of Medicine At Mount Sinai	VGF peptide TLQP-21; a novel microglial C3aR1 modulator in Alzheimer's disease	2019	R01	R01Equiv	NIH	"EHRLICH, MICHELLE E"	1R01AG062661-01	NA	815754	NA	Include	NIA	9713516	1	AG	62661	1		NA
6380787	"SAM, FLORA "	Boston University Medical Campus	Mechanistic underpinnings of increased adipose tissue in HFpEF	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL145985-01A1	NA	663147	NA	Include	NHLBI	9834151	1	HL	145985	1	A1	NA
9964655	"SAMIR, ANTHONY EDWARD"	Massachusetts General Hospital	Development of a Machine Learning Model to Integrate Clinical; Laboratory; Sonographic; and Elastographic Data for Noninvasive Liver Tissue Characterization in NAFLD	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK119860-01	NA	462750	NA	Include	NIDDK	9640524	1	DK	119860	1		NA
11378019	"SAMUEL, MELANIE A"	Baylor College Of Medicine	Molecular Basis of Outer Retina Development and Repair	2019	R01	R01Equiv	NIH	Not Applicable	1R01EY030458-01	NA	400000	NA	Include	NEI	9798285	1	EY	30458	1		NA
1882030	"SANCHEZ, EDWIN RAMON"	University Of Toledo Health Sci Campus	Nuclear Receptor Chaperones in Signalingand Metabolism	2019	R01	R01Equiv	NIH	Not Applicable	1R01DK121017-01	NA	383750	NA	Include	NIDDK	9712121	1	DK	121017	1		NA
6718909	"SANDERS, ALAN R "	Northshore University Healthsystem	Female Sexual Orientation GWAS	2019	R01	R01Equiv	NIH	"MARTIN, EDEN R."	1R01HD100180-01	NA	654722	NA	Include	NICHD	9840082	1	HD	100180	1		NA
14257623	"SANDIN, SVEN "	Icahn School Of Medicine At Mount Sinai	Rheumatoid Arthritis and Autism Spectrum Disorder	2019	R01	R01Equiv	NIH	Not Applicable	1R01AR075812-01	NA	492357	NA	Include	NIAMS	9799861	1	AR	75812	1		NA
2095219	"SANDS, SCOTT A"	Brigham And Women's Hospital	A Novel Pharmacological Therapy for Obstructive Sleep Apnea	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL146697-01	NA	683859	NA	Include	NHLBI	9711443	1	HL	146697	1		NA
1974471	"SANGHERA, DHARAMBIR K "	University Of Oklahoma Hlth Sciences Ctr	Genome; Metabolome; Ancestry and Diabetes Health Disparity	2019	R01	R01Equiv	NIH	"DUGGIRALA, RAVINDRANATH ;GORING, HARALD HEINZ HERBERT"	1R01DK118427-01A1	NA	645217	NA	Include	NIDDK	9849014	1	DK	118427	1	A1	NA
11954943	"SANTA MARIA, DIANE M."	University Of Texas Hlth Sci Ctr Houston	Come As You Are - Assessing the Efficacy of a Nurse Case Management HIV Prevention and Care Intervention among Homeless Youth	2019	R01	R01Equiv	NIH	Not Applicable	1R01NR017837-01A1	NA	699693	NA	Include	NINR	9695481	1	NR	17837	1	A1	NA
14539188	"SANTARNECCHI, EMILIANO "	Beth Israel Deaconess Medical Center	Gamma Induction for Amyloid Clearance in Alzheimer?s Disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG060981-01	NA	649289	NA	Include	NIA	9638897	1	AG	60981	1		NA
11757589	"SANTULLI, GAETANO "	Albert Einstein College Of Medicine	Functional role of IP3 receptors in the regulation of cardiac myofibroblasts	2019	R01	R01Equiv	NIH	Not Applicable	1R01HL146691-01A1	NA	417500	NA	Include	NHLBI	9835356	1	HL	146691	1	A1	NA
10934780	"SARDIELLO, MARCO "	Baylor College Of Medicine	MECHANISMS OF ER-TO-GOLGI TRANSPORT OF LYSOSOMAL ENZYMES	2019	R01	R01Equiv	NIH	Not Applicable	1R01GM127492-01A1	NA	317000	NA	Include	NIGMS	9660753	1	GM	127492	1	A1	NA
10767343	"SAREDDY, GANGADHARA "	University Of Texas Hlth Science Center	KDM1A inhibitors as novel therapeutics for glioblastoma	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS106173-01A1	NA	293563	NA	Include	NINDS	9740650	1	NS	106173	1	A1	NA
9379544	"SARKAR, SUROJIT "	Seattle Children's Hospital	Mechanisms of T Cell Memory Quiescence	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI132819-01A1	NA	523322	NA	Include	NIAID	9739220	1	AI	132819	1	A1	NA
9725756	"SATHER, D. NOAH"	Seattle Children's Hospital	Development of a pre-erythrocytic P. vivax vaccine to prevent clinical relapse	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI137234-01A1	NA	844617	NA	Include	NIAID	9662677	1	AI	137234	1	A1	NA
10436946	"SATHYASEELAN, DEEPA SARAMA"	University Of Oklahoma Hlth Sciences Ctr	The Role of Necroptosis in Aging	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG059718-01A1	NA	321393	NA	Include	NIA	9731765	1	AG	59718	1	A1	NA
1935239	"SAUGSTAD, JULIE ANNE"	Oregon Health & Science University	Establishing MicroRNA Biomarkers for Diagnosing Alzheimer's Disease & Predicting Progression	2019	RF1	R01Equiv	NIH	Not Applicable	1RF1AG059392-01A1	NA	3429850	NA	Include	NIA	9684057	1	AG	59392	1	A1	NA
12010481	"SAVIC, DANIEL "	St. Jude Children's Research Hospital	Characterizing noncoding GWAS variants in acute lymphoblastic leukemia treatment outcome	2019	R01	R01Equiv	NIH	Not Applicable	1R01CA234490-01A1	NA	459852	NA	Include	NCI	9818121	1	CA	234490	1	A1	NA
8408755	"SCHACHT, JOSEPH P"	Medical University Of South Carolina	COMT inhibition as a potential therapeutic target among individuals with comorbid Alcohol Use Disorder and Attention-Deficit/Hyperactivity Disorder	2019	R01	R01Equiv	NIH	Not Applicable	1R01AA026859-01A1	NA	330438	NA	Include	NIAAA	9739604	1	AA	26859	1	A1	NA
9344236	"SCHAEFER, ANNE "	Icahn School Of Medicine At Mount Sinai	Microglia mediated suppression of dopamine induced neuronal responses and behavior	2019	R01	R01Equiv	NIH	Not Applicable	1R01MH118329-01	NA	422231	NA	Include	NIMH	9641706	1	MH	118329	1		NA
10648013	"SCHAMBRA, HEIDI "	New York University School Of Medicine	Corticoreticulospinal tract reorganization after stroke	2019	R01	R01Equiv	NIH	Not Applicable	1R01NS110696-01	NA	616352	NA	Include	NINDS	9712305	1	NS	110696	1		NA
8567617	"SCHARF, JEREMIAH M "	Massachusetts General Hospital	Large-scale collaborative genetic and epigenetic studies of Tourette Syndrome	2019	R01	R01Equiv	NIH	"MATHEWS, CAROL A;PASCHOU, PERISTERA "	1R01NS105746-01A1	NA	751865	NA	Include	NINDS	9739736	1	NS	105746	1	A1	NA
10744643	"SCHER, JOSE U. "	New York University School Of Medicine	Employing the gut microbiome to accelerate effective initiation of rheumatoid arthritis therapy	2019	R01	R01Equiv	NIH	"TURNBAUGH, PETER JAMES"	1R01AR074500-01A1	NA	734366	NA	Include	NIAMS	9826831	1	AR	74500	1	A1	NA
9115068	"SCHMIDT, AARON GREGORY"	Massachusetts General Hospital	Epitope focusing by molecular grafting of subdominant epitopes to achieve a universal-influenza vaccine	2019	R01	R01Equiv	NIH	Not Applicable	1R01AI146779-01	NA	408458	NA	Include	NIAID	9802044	1	AI	146779	1		NA
10657226	"SCHMIT, STEPHANIE L "	H. Lee Moffitt Cancer Ctr & Res Inst	Biological determinants of colorectal cancer outcomes in Latinos of diverse ancestral origins	2019	R01	R01Equiv	NIH	"FIGUEIREDO, JANE C."	1R01CA238087-01	NA	727816	NA	Include	NCI	9728318	1	CA	238087	1		NA
7951270	"SCHNAIDER BEERI, MICHAL "	Icahn School Of Medicine At Mount Sinai	Systemic and dietary advanced glycation end products in type 2 diabetes-related cognitive decline and incident dementia: effects on Alzheimer's pathology and cerebrovascular disease	2019	R01	R01Equiv	NIH	Not Applicable	1R01AG061093-01	NA	910096	NA	Include	NIA	9641939	1	AG	61093	1		NA
1865292	"SCHNEIDER, ROBERT "	New York University School Of Medicine	Accelerated and programmed mRNA decay by AU-rich binding protein AUF1 in the regulation of muscle regeneration	2019	R01	R01Equiv	NIH	Not Applicable	1R01AR074430-01	NA	469354	NA	Include	NIAMS	9636320	1	AR	74430	1		NA
10747816	"SCHOENECKER, JONATHAN "	Vanderbilt University Medical Center	Severe Trauma Provokes Pathologic Continuum of Plasmin Activation	2019	R01	R01Equiv	NIH	Not Applicable	1R01GM126062-01A1	NA	357000	NA	Include	NIGMS	9739797	1	GM	126062	1	A1	NA
