"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"252","MHealth interventions to improve access and coverage of uninsured people with high cardiovascular risk in Argentina","FIC",9017249,"1R21TW010173-01",1,"R21","TW",10173,1,"",NA,1871445,"GAZIANO, THOMAS A","Not Applicable","Brigham And Women's Hospital",NA,2016,180450,NA,"Include"
"253","An optogenetic approach to study axonal repair in the brain","NINDS",9225368,"1R21NS099950-01",1,"R21","NS",99950,1,"",NA,10489035,"GE, WOO-PING ","Not Applicable","Ut Southwestern Medical Center",NA,2016,243000,NA,"Include"
"254","Drug susceptibilities in fusion oncogene-driven pediatric sarcomas","NCI",9814407,"1R21CA235092-01A1",1,"R21","CA",235092,1,"A1",NA,1866202,"GELMAN, IRWIN H.","Not Applicable","Roswell Park Cancer Institute Corp",NA,2019,227984,NA,"Include"
"255","Using Collaborative Cross mice to develop a novel model of Mycobacterium abscesses lung infection","NIAID",9775859,"1R21AI145396-01",1,"R21","AI",145396,1,"",NA,15197820,"GENGENBACHER, MARTIN ALFONS","Not Applicable","Hackensack University Medical Center",NA,2019,265650,NA,"Include"
"256","Self-care decision-making: Feasibility of the BREATHE asthma intervention trial","NINR",9164685,"1R21NR016507-01",1,"R21","NR",16507,1,"",NA,6771603,"GEORGE, MAUREEN ","Not Applicable","Columbia University Health Sciences",NA,2016,255320,NA,"Include"
"257","Quantifying Underuse and Overuse of Knee Replacement","NIAMS",9092256,"1R21AR069867-01",1,"R21","AR",69867,1,"",NA,9409633,"GHOMRAWI, HASSAN ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2016,41835,NA,"Include"
"258","Targeting latent HIV Astroglial Reservoirs without Reactivation","NIMH",9350661,"1R21MH113452-01",1,"R21","MH",113452,1,"",NA,6060956,"GHORPADE, ANUJA ","Not Applicable","University Of North Texas Hlth Sci Ctr",NA,2017,219000,NA,"Include"
"259","Network-driven drug repurposing approaches to treat coronary artery disease","NCATS",9205566,"1R21TR001739-01",1,"R21","TR",1739,1,"",NA,10770917,"GIANNARELLI, CHIARA  ","BJORKEGREN, JOHAN M","Icahn School Of Medicine At Mount Sinai",NA,2016,339000,NA,"Include"
"260","Morphological Correlates of Memory Consolidation During Sleep","NIMH",9740623,"1R21MH117460-01A1",1,"R21","MH",117460,1,"A1",NA,8544626,"GISABELLA, BARBARA ","Not Applicable","University Of Mississippi Med Ctr",NA,2019,247613,NA,"Include"
"261","Innate immune mechanisms of periodontal disease and inflammatory bowel disease","NIDCR",9823028,"1R21DE028378-01A1",1,"R21","DE",28378,1,"A1",NA,7580561,"GLOVER, SARAH C ","DIAMOND, GILL ","University Of Mississippi Med Ctr",NA,2019,205904,NA,"Include"
"262","Development of a CF10 Predictive Gene Signature in CRC Organoids.","NCI",9512020,"1R21CA218933-01A1",1,"R21","CA",218933,1,"A1",NA,1862406,"GMEINER, WILLIAM H.","Not Applicable","Wake Forest University Health Sciences",NA,2018,202275,NA,"Include"
"263","COMPARATIVE EFFECTIVENESS OF BIOLOGIC AGENTS IN ETHNIC MINORITIES WITH COLORECTAL CANCER","NIA",9432615,"1R21AG058027-01",1,"R21","AG",58027,1,"",NA,10669697,"GOEL, SANJAY  ","NEGASSA, ABDISSA ","Montefiore Medical Center (Bronx, Ny)",NA,2018,215786,NA,"Include"
"264","Isolating SUDEP Risk conferred by genomic co-variation in candidate SUDEP genes","NINDS",9808487,"1R21NS113015-01",1,"R21","NS",113015,1,"",NA,7609967,"GOLDMAN, ALICA M","Not Applicable","Baylor College Of Medicine",NA,2019,435875,NA,"Include"
"265","Genetics of Sudden Unexpected Death in Pediatrics","NICHD",9584889,"1R21HD096355-01",1,"R21","HD",96355,1,"",NA,12402205,"GOLDSTEIN, RICHARD DANIEL ","HOLM, INGRID ADELE;PODURI, ANNAPURNA ","Boston Children's Hospital",NA,2018,265500,NA,"Include"
"266","Role of TLR4 in persistent Leptospira infection","NIAID",9823538,"1R21AI142129-01A1",1,"R21","AI",142129,1,"A1",NA,9288750,"GOMES-SOLECKI, MARIA ","Not Applicable","University Of Tennessee Health Sci Ctr",NA,2019,228000,NA,"Include"
"267","Using AAV-mediated gene silencing to explore DYT1 dystonia pathogenesis and therapeutics","NINDS",9738398,"1R21NS107883-01A1",1,"R21","NS",107883,1,"A1",NA,8361710,"GONZALEZ-ALEGRE, PEDRO ","Not Applicable","Children's Hosp Of Philadelphia",NA,2019,495577,NA,"Include"
"268","Development of anti-gp41 HIV-1 antibodies for penetration of blood brain barrier","NINDS",9349048,"1R21NS098956-01A1",1,"R21","NS",98956,1,"A1",NA,1870542,"GORNY, MIROSLAW K","Not Applicable","New York University School Of Medicine",NA,2017,229415,NA,"Include"
"269","Determining the Biomechanical and Biological Response of Stretched Skin","NIBIB",9112203,"1R21EB021590-01A1",1,"R21","EB",21590,1,"A1",NA,2278858,"GOSAIN, ARUN K","Not Applicable","Lurie Children's Hospital Of Chicago",NA,2016,289809,NA,"Include"
"270","Development of an adjuvant-free mucosal vaccine platform via sequential FcRn-mediated transepithelial Ag transport to the NALT and Fc RI-enhanced Ag processing and presentation within the NALT.","NIAID",9582354,"1R21AI139733-01",1,"R21","AI",139733,1,"",NA,1865902,"GOSSELIN, EDMUND J ","ZHU, XIAOPING ","Albany Medical College",NA,2018,252563,NA,"Include"
"271","Endocannabinoid System and Brain Network Function in Late-Life Depression","NIMH",9242787,"1R21MH109807-01A1",1,"R21","MH",109807,1,"A1",NA,10483485,"GOVEAS, JOSEPH S ","HILLARD, CECILIA J","Medical College Of Wisconsin",NA,2017,231000,NA,"Include"
"272","Bio-Physical Modeling of Immuno-Radiotherapy Combinations based on Patient Data","NCI",9808844,"1R21CA241918-01",1,"R21","CA",241918,1,"",NA,11308010,"GRASSBERGER, CLEMENS ","Not Applicable","Massachusetts General Hospital",NA,2019,216282,NA,"Include"
"273","Early Life Mechanisms of Intergenerational Transmission of Trauma-Related Risk in Offspring: Epigenetic and Neurodevelopmental Pathways","NICHD",9387052,"1R21HD090379-01A1",1,"R21","HD",90379,1,"A1",NA,9588216,"GRASSO, DAMION JOSEPH","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2017,239250,NA,"Include"
"274","High throughput validation of functional variants that affect pre-mRNA splicing","NHGRI",9021170,"1R21HG008799-01",1,"R21","HG",8799,1,"",NA,7117807,"GRAVELEY, BRENTON R.","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2016,239250,NA,"Include"
"275","Defining the Impact of Immunodeficiency Virus Infection on Mycobacteria-Specific; Unconventional CD8+ T cells","NIAID",9849961,"1R21AI147944-01",1,"R21","AI",147944,1,"",NA,10516054,"GREENE, JUSTIN ","Not Applicable","Oregon Health & Science University",NA,2019,213713,NA,"Include"
"276","The influence of the milk microbiome on inflammation of the preterm infant","NINR",9530068,"1R21NR017256-01A1",1,"R21","NR",17256,1,"A1",NA,9138531,"GREGORY, KATHERINE ELIZABETH","Not Applicable","Brigham And Women's Hospital",NA,2018,291592,NA,"Include"
"277","Adaptations in the Glutamatergic Ventral Hippocampus to Nucleus Accumbens Pathway in Alcohol Drinking and Dependence","NIAAA",9245159,"1R21AA024881-01A1",1,"R21","AA",24881,1,"A1",NA,3078775,"GRIFFIN, WILLIAM C","Not Applicable","Medical University Of South Carolina",NA,2017,214906,NA,"Include"
"278","Effect of HIV and ART therapy on developmental myelination","NIMH",9623395,"1R21MH118121-01",1,"R21","MH",118121,1,"",NA,1876245,"GRINSPAN, JUDITH B ","JORDAN-SCIUTTO, KELLY L","Children's Hosp Of Philadelphia",NA,2018,265883,NA,"Include"
"279","Effects of cell-based hormone therapy on LV diastolic dysfunction and hypertrophy progression after mid-life estrogen loss","NIA",9645177,"1R21AG061588-01",1,"R21","AG",61588,1,"",NA,7507327,"GROBAN, LEANNE  ","OPARA, EMMANUEL C.","Wake Forest University Health Sciences",NA,2019,232500,NA,"Include"
"280","An internal sensory circuit for neuropeptide control of body homeostasis","NINDS",9616404,"1R21NS105507-01A1",1,"R21","NS",105507,1,"A1",NA,8613268,"GRUEBER, WESLEY B","Not Applicable","Columbia University Health Sciences",NA,2018,198203,NA,"Include"
"281","Hyperacusis Caused by Mechanical Abnormalities in the Ear","NIDCD",9591519,"1R21DC017251-01",1,"R21","DC",17251,1,"",NA,14178784,"GUAN, XIYING ","Not Applicable","Massachusetts Eye And Ear Infirmary",NA,2018,170000,NA,"Include"
"282","The role of Human Endogenous Retroviruses (HERVs) in the regulation of neural genome of schizophrenia","NIMH",9435051,"1R21MH115327-01",1,"R21","MH",115327,1,"",NA,9847847,"GUFFANTI, GUIA  ","MACCIARDI, FABIO ","Mclean Hospital",NA,2017,251748,NA,"Include"
"283","Regulation of Francisella virulence by sRNAs","NIAID",9745850,"1R21AI140001-01A1",1,"R21","AI",140001,1,"A1",NA,1946554,"GUNN, JOHN S","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2019,190000,NA,"Include"
"284","Pathogenic role of epigenetic regulator KDM5; a Histone H3 Lysine 4 demethylase in laminopathies","NIA",9591855,"1R21AG060413-01",1,"R21","AG",60413,1,"",NA,11655143,"GURHA, PRIYATANSH ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2018,245428,NA,"Include"
"285","Engineering Long ssDNA for Genome Editing Applications","NIGMS",9586340,"1R21GM129559-01",1,"R21","GM",129559,1,"",NA,11422448,"GURUMURTHY, CHANNABASAVAIAH  ","WHITEHEAD, TIMOTHY ANDREW","University Of Nebraska Medical Center",NA,2019,229500,NA,"Include"
"286","GLP-1 Therapy:  The Role of IL-6 Signaling and Adipose Tissue Remodeling in Metabolic Response","NIDDK",9808679,"1R21DK122234-01",1,"R21","DK",122234,1,"",NA,10899856,"GUTIERREZ, ABSALON DENNIS","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2019,192500,NA,"Include"
"287","Proteomic-based integrated subject-specific networks in cancer","NCI",9506027,"1R21CA220299-01A1",1,"R21","CA",220299,1,"A1",NA,14657890,"HA, MIN JIN  ","BALADANDAYUTHAPANI, VEERABHADRAN ","University Of Tx Md Anderson Can Ctr",NA,2018,208800,NA,"Include"
"288","HIV Risk Among Young Women Workers in the Industrial Zone in Vietnam","NIMH",9780915,"1R21MH118986-01A1",1,"R21","MH",118986,1,"A1",NA,14336045,"HA, TOAN ","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2019,230333,NA,"Include"
"289","Viral Modulation of Polysaccharide Antibody Responses and Vaccine Efficacy","NIAID",9018144,"1R21AI121947-01",1,"R21","AI",121947,1,"",NA,9426881,"HAAS, KAREN M","Not Applicable","Wake Forest University Health Sciences",NA,2016,194842,NA,"Include"
"290","Investigating Long-Term Clinical Outcomes and Metabolic Network Activity Following Subthalamic Nucleus Deep Brain Stimulation in Early Stage Parkinson's Disease","NINDS",9583542,"1R21NS107877-01",1,"R21","NS",107877,1,"",NA,10310223,"HACKER, MALLORY L.","Not Applicable","Vanderbilt University Medical Center",NA,2018,251155,NA,"Include"
"291","Enhancing Emotion Regulation among Overweight and Obese Adolescents Attempting to Lose Weight","NIDDK",9178405,"1R21DK108164-01A1",1,"R21","DK",108164,1,"A1",NA,7903390,"HADLEY, WENDY S","Not Applicable","Rhode Island Hospital",NA,2016,201250,NA,"Include"
"292","The Microbiome in Mammary Development; and Lacatation","NICHD",9430549,"1R21HD094238-01",1,"R21","HD",94238,1,"",NA,1859482,"HADSELL, DARRYL L","Not Applicable","Baylor College Of Medicine",NA,2018,210000,NA,"Include"
"293","Increased vulnerability to alcohol abuse after gastric bypass: Neural mechanisms","NIAAA",9012959,"1R21AA024490-01",1,"R21","AA",24490,1,"",NA,2213622,"HAJNAL, ANDRAS  ","THANOS, PANAYOTIS K","Pennsylvania State Univ Hershey Med Ctr",NA,2016,236275,NA,"Include"
"294","Synergistic Photodynamic Therapy for Catherer-Associated Urinary Tract Infections","NIAID",9021443,"1R21AI121700-01",1,"R21","AI",121700,1,"",NA,6094213,"HAMBLIN, MICHAEL R","Not Applicable","Massachusetts General Hospital",NA,2016,233488,NA,"Include"
"295","Preclinical Study of IL-27-Conditioned Tregs to Treat GvHD","NIAID",9181097,"1R21AI121524-01A1",1,"R21","AI",121524,1,"A1",NA,11208096,"HAMILTON, BETTY K ","MIN, BOOKI ","Cleveland Clinic Lerner Com-Cwru",NA,2016,198125,NA,"Include"
"296","Responses to Genetic Risk Modifier Testing Among Women with BRCA1/2 Mutations","NCI",9582452,"1R21CA230879-01",1,"R21","CA",230879,1,"",NA,11856998,"HAMILTON, JADA GABRIELLE","Not Applicable","Sloan-Kettering Inst Can Research",NA,2018,186724,NA,"Include"
"297","Environmental Exposures; Health and Resilience before and after Hurricane Harvey in a Houston-Area Cohort of African-American Adults with Poorly Controlled Asthma","NIEHS",9593265,"1R21ES029690-01",1,"R21","ES",29690,1,"",NA,7059827,"HAMILTON, WINIFRED J ","OLUYOMI, ABIODUN ","Baylor College Of Medicine",NA,2018,317000,NA,"Include"
"298","Alcohol-induced dysregulation of thiol homeostasis and endothelial function","NIAAA",9745069,"1R21AA026922-01A1",1,"R21","AA",26922,1,"A1",NA,10366655,"HAN, JINGYAN  ","ZANG, MENGWEI ","Boston University Medical Campus",NA,2019,247426,NA,"Include"
"299","Machine learning-based profiles of atherosclerosis to predict disease outcomes in older HIV-infected women and men","NIA",9623504,"1R21AG060860-01A1",1,"R21","AG",60860,1,"A1",NA,10035210,"HANNA, DAVID B.","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2018,82712,NA,"Include"
"300","Multiple Effector Activities of an Autoprocessed Haemophilus ducreyi Virulence Factor","NIAID",9244259,"1R21AI123557-01A1",1,"R21","AI",123557,1,"A1",NA,7684450,"HANSEN, ERIC JOHN","Not Applicable","Ut Southwestern Medical Center",NA,2017,243000,NA,"Include"
"301","In vivo efficacy studies to support the development of DUX4-targeted RNAi therapy for FSHD","NINDS",9299936,"1R21NS101166-01",1,"R21","NS",101166,1,"",NA,9136452,"HARPER, SCOTT Q","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2017,389002,NA,"Include"
"302","Identification of Anti-Prion Drug Targets","NINDS",9308064,"1R21NS101659-01",1,"R21","NS",101659,1,"",NA,1893159,"HARRIS, DAVID A","Not Applicable","Boston University Medical Campus",NA,2017,246750,NA,"Include"
"303","Bioenergetic dysfunction in the aging; injured brain: characterization and intervention with creatine.","NIA",9669496,"1R21AG058052-01A1",1,"R21","AG",58052,1,"A1",NA,8629125,"HARRIS, JANNA LEIGH","Not Applicable","University Of Kansas Medical Center",NA,2019,191250,NA,"Include"
"304","Applying Chemical Biology to Target Deubiquitinating Enzymes in Lung Cancer","NCI",9375662,"1R21CA218787-01",1,"R21","CA",218787,1,"",NA,3047481,"HAURA, ERIC B.","Not Applicable","H. Lee Moffitt Cancer Ctr & Res Inst",NA,2017,224460,NA,"Include"
"305","Exploring real-time alterations in cerebral perfusion; BOLD signal; and cognition during physical activity","NIA",9600777,"1R21AG056921-01A1",1,"R21","AG",56921,1,"A1",NA,8631796,"HAYES, SCOTT M","Not Applicable","Boston University Medical Campus",NA,2018,202256,NA,"Include"
"306","Impact of Aging and Influenza Infection on Muscle Health","NIA",9591461,"1R21AG060389-01",1,"R21","AG",60389,1,"",NA,2085160,"HAYNES, LAURA ","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2018,247450,NA,"Include"
"307","Modulating the Nucleopathy caused by FUS Mutants of ALS","NINDS",9182603,"1R21NS095273-01A1",1,"R21","NS",95273,1,"A1",NA,1901013,"HAYWARD, LAWRENCE J","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2016,251250,NA,"Include"
"308","Early Prediction of Cognitive Deficits in Very Preterm Infants using Machine Learning and Brain Connectome","NICHD",9432651,"1R21HD094085-01",1,"R21","HD",94085,1,"",NA,12304208,"HE, LILI ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2018,198750,NA,"Include"
"309","Photo-enhanced messaging to address dietary sugars as a common risk factor for chronic disease","NIDCR",9808349,"1R21DE028993-01",1,"R21","DE",28993,1,"",NA,8698160,"HEATON, BRENDA  ","QUINTILIANI, LISA M.","Boston University Medical Campus",NA,2019,267651,NA,"Include"
"310","Telemedicine to improve the diagnosis of surgical site infections post-cesarean delivery in rural Rwanda","FIC",9554190,"1R21TW011229-01",1,"R21","TW",11229,1,"",NA,7814204,"HEDT-GAUTHIER, BETHANY ","Not Applicable","Harvard Medical School",NA,2018,212617,NA,"Include"
"311","Behavioral state modulation of sensorimotor processing in cerebellar microcircuits","NINDS",9450090,"1R21NS104836-01",1,"R21","NS",104836,1,"",NA,8350327,"HEINEY, SHANE A","Not Applicable","Baylor College Of Medicine",NA,2017,118875,NA,"Include"
"312","A pipeline for prioritizing and evaluating multidrug regimens for Mycobacterium abscessus","NIAID",9727503,"1R21AI144536-01",1,"R21","AI",144536,1,"",NA,7235053,"HERNANDEZ, RAFAEL E","Not Applicable","Seattle Children's Hospital",NA,2019,280873,NA,"Include"
"313","Context is Critical: Understanding When and Why EHR Related Safety Hazards Happen","AHRQ",9386932,"1R21HS024755-01A1",1,"R21","HS",24755,1,"A1",NA,10461138,"HETTINGER, AARON ZACHARY","Not Applicable","Medstar Health Research Institute",NA,2017,148920,NA,"Include"
"314","Single cell analysis of transplant rejection","NIAID",9651178,"1R21AI142264-01",1,"R21","AI",142264,1,"",NA,7618483,"HILDEMAN, DAVID A","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2019,253473,NA,"Include"
"315","CB2 Cannabinoid Receptors and Cocaine Action: Studies with Conditional Knock Outs","NIDA",9055235,"1R21DA041212-01",1,"R21","DA",41212,1,"",NA,1901129,"HILLARD, CECILIA J ","OLSEN, CHRISTOPHER M","Medical College Of Wisconsin",NA,2016,230625,NA,"Include"
"316","Tracking Metals From E-cigarettes: From The Coil Into Lung Tissue","NIEHS",9605473,"1R21ES029777-01",1,"R21","ES",29777,1,"",NA,11722514,"HILPERT, MARKUS  ","KLEIMAN, NORMAN J","Columbia University Health Sciences",NA,2018,240000,NA,"Include"
"317","Therapeutic potential of enhanced mitochondrial biogenesis for paclitaxel-induced peripheral neuropathy","NCI",9507071,"1R21CA226672-01",1,"R21","CA",226672,1,"",NA,1880690,"HIRANO, MICHIO ","Not Applicable","Columbia University Health Sciences",NA,2018,208800,NA,"Include"
"318","PRovide Options for Treatment of Exposed Children against Tuberculosis (PROTECT) Study","NIAID",9623523,"1R21AI138807-01A1",1,"R21","AI",138807,1,"A1",NA,11231554,"HIRSCH-MOVERMAN, YAEL R","Not Applicable","Columbia University Health Sciences",NA,2018,198320,NA,"Include"
"319","Dissecting the molecular and functional role of Sox2 in synovial sarcoma","NCI",9098093,"1R21CA194521-01A1",1,"R21","CA",194521,1,"A1",NA,8592385,"HOCHEDLINGER, KONRAD ","Not Applicable","Massachusetts General Hospital",NA,2016,206635,NA,"Include"
"320","Neurophysiological and neuroanatomical processes related to Autism Spectrum Disorder in Neurofibromatosis Type 1","NINDS",9681533,"1R21NS106135-01A1",1,"R21","NS",106135,1,"A1",NA,8859256,"HOCKING, MATTHEW C. ","ROBERTS, TIMOTHY P","Children's Hosp Of Philadelphia",NA,2018,215000,NA,"Include"
"321","Defining the role of Gimap5 in T cell differentiation and asthma development","NIAID",9530033,"1R21AI131050-01A1",1,"R21","AI",131050,1,"A1",NA,8134077,"HOEBE, KASPER ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2018,238500,NA,"Include"
"322","Altered mitochondria-ER signaling as a cause of chemotherapy resistance","NCI",9178264,"1R21CA198430-01A1",1,"R21","CA",198430,1,"A1",NA,1901244,"HOGARTY, MICHAEL D","Not Applicable","Children's Hosp Of Philadelphia",NA,2016,193314,NA,"Include"
"323","Mechanisms of DNA repair in quiescent cells","NIEHS",9433166,"1R21ES028840-01",1,"R21","ES",28840,1,"",NA,1887733,"HOLLOMAN, WILLIAM K.","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2018,254250,NA,"Include"
"324","Identification of Essential Areas of the Brain in Pre-Operative Brain Tumor Patients Using BOLD fMRI and Independent Physiological Parameters","NCI",9381979,"1R21CA220144-01",1,"R21","CA",220144,1,"",NA,6486051,"HOLODNY, ANDREI I ","PECK, KYUNG ","Sloan-Kettering Inst Can Research",NA,2017,152213,NA,"Include"
"325","MigraineManager: A Self-Management Health Care Resource for Pediatric Migraine","NINDS",9172516,"1R21NS094476-01A1",1,"R21","NS",94476,1,"A1",NA,8623421,"HOMMEL, KEVIN ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2016,234000,NA,"Include"
"326","SPM Biodegradation: A Novel Mechanism for Impaired Healing of Chronic Wounds in Aging","NIA",9592519,"1R21AG060430-01",1,"R21","AG",60430,1,"",NA,9317634,"HONG, SONG ","Not Applicable","Lsu Health Sciences Center",NA,2018,220500,NA,"Include"
"327","Optimization of MrgX1 allosteric agonists as potential therapies for chronic pain","NIDA",9432742,"1R21DA045303-01",1,"R21","DA",45303,1,"",NA,9724057,"HOPKINS, COREY R.","Not Applicable","University Of Nebraska Medical Center",NA,2017,325005,NA,"Include"
"328","The Role of UBTF in Undiagnosed Neurodevelopmental Disorders","NIGMS",9096370,"1R21GM118962-01",1,"R21","GM",118962,1,"",NA,1927879,"HORI, RODERICK T ","LEDOUX, MARK S","University Of Tennessee Health Sci Ctr",NA,2016,228000,NA,"Include"
"329","Control of macrophage activation by Akt signaling and metabolic input","NIAID",9111291,"1R21AI119763-01A1",1,"R21","AI",119763,1,"A1",NA,8951255,"HORNG, TIFFANY ","Not Applicable","Harvard School Of Public Health",NA,2016,242250,NA,"Include"
"330","Harnessing NK cell effector function for immunotherapies","NIAID",9296856,"1R21AI130760-01",1,"R21","AI",130760,1,"",NA,11147740,"HOROWITZ, AMIR ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2017,254250,NA,"Include"
"331","A novel mucosal trichuriasis vaccine for Th2 immune protection.","NIAID",9726930,"1R21AI144555-01",1,"R21","AI",144555,1,"",NA,1881053,"HOTEZ, PETER J ","SASTRY, JAGANNADHA K","Baylor College Of Medicine",NA,2019,214260,NA,"Include"
"332","Building personalized avatars of human cancer to predict response to therapy","NCI",9025326,"1R21CA202540-01",1,"R21","CA",202540,1,"",NA,1885309,"HOUVRAS, YARIV J","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2016,221198,NA,"Include"
"333","Structure analysis of F pilus biogenesis","NIAID",9651806,"1R21AI142378-01",1,"R21","AI",142378,1,"",NA,12561261,"HU, BO ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2019,231000,NA,"Include"
"334","Exosome-mediated anti-microRNA delivery into the CNS:  A Novel Threpautic for HAND in opiate users","NIDA",9269394,"1R21DA042704-01A1",1,"R21","DA",42704,1,"A1",NA,12538559,"HU, GUOKU  ","GUO, MINGLEI ","University Of Nebraska Medical Center",NA,2017,225750,NA,"Include"
"335","Metabolomics: Novel Strategies to Improve Breast Cancer Radiotherapy Responses","NCI",9810248,"1R21CA234880-01A1",1,"R21","CA",234880,1,"A1",NA,1967824,"HU, JENNIFER J","Not Applicable","University Of Miami School Of Medicine",NA,2019,233704,NA,"Include"
"336","The role of chronic cannabis and its two major psychoactive ingredients in papillomavirus-associated oropharyngeal disease","NIDCR",9726472,"1R21DE028650-01",1,"R21","DE",28650,1,"",NA,9705868,"HU, JIAFEN ","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2019,191625,NA,"Include"
"337","Monitoring seizure activity following BACE1 inhibition for Alzheimer's disease treatment","NIA",9745187,"1R21AG059124-01A1",1,"R21","AG",59124,1,"A1",NA,15041062,"HU, XIANG-YOU ","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2019,245813,NA,"Include"
"338","Novel linear lipopeptide paenipeptins sensitize multidrug-resistant Gram-negative pathogens to antibiotics","NIAID",9808875,"1R21AI146693-01",1,"R21","AI",146693,1,"",NA,14714936,"HUANG, EN ","Not Applicable","Univ Of Arkansas For Med Scis",NA,2019,226500,NA,"Include"
"339","Effective immunity against Trypanosoma cruzi infection induced by immunization","NIAID",9649499,"1R21AI142110-01",1,"R21","AI",142110,1,"",NA,6877724,"HUANG, HUAN ","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2019,21363,NA,"Include"
"340","Implementing a Digital Child Mental Health Screening; Literacy; and Management Tool in Faith-Based Settings","NIMH",9552458,"1R21MH116692-01",1,"R21","MH",116692,1,"",NA,9054444,"HUANG, KENG-YEN  ","NAKIGUDDE, JANET ","New York University School Of Medicine",NA,2018,190861,NA,"Include"
"341","Muscle Stem Cells reprogrammed Through Genome Engineering for Autonomously Regulated Anti-Fibrotic Therapy","NIAMS",9437462,"1R21AR072870-01",1,"R21","AR",72870,1,"",NA,15861158,"HUARD, JOHNNY  ","GUILAK, FARSHID ","University Of Texas Hlth Sci Ctr Houston",NA,2018,211788,NA,"Include"
"342","Regulation of the potassium channel IK1 by calcium and histidine phosphorylation","NIAID",9034760,"1R21AI107443-01A1",1,"R21","AI",107443,1,"A1",NA,6705346,"HUBBARD, STEVAN R.","Not Applicable","New York University School Of Medicine",NA,2016,254250,NA,"Include"
"343","Science of Behavior Change in African American Breast Cancer Survivors","NCI",9608280,"1R21CA235852-01",1,"R21","CA",235852,1,"",NA,2404579,"HUGHES-HALBERT, CHANITA A","Not Applicable","Medical University Of South Carolina",NA,2018,149500,NA,"Include"
"344","Mitochondrial-Nuclear Genetic Interactions in Spontaneous HCV Clearance","NIAID",9573678,"1R21AI139012-01",1,"R21","AI",139012,1,"",NA,6909032,"HULGAN, TODD M ","KIM, ARTHUR Y","Vanderbilt University Medical Center",NA,2018,288869,NA,"Include"
"345","Improving Exercise Capacity with a Tailored Physical Activity Intervention in Lymphoma Patients Undergoing Treatment","NCI",9676668,"1R21CA226960-01A1",1,"R21","CA",226960,1,"A1",NA,6855679,"HUNDLEY, WILLIAM GREGORY","Not Applicable","Wake Forest University Health Sciences",NA,2019,193301,NA,"Include"
"346","Re-defining RIG-I-like helicases as viral RNA receptors with effector functions","NIAID",9296274,"1R21AI130791-01",1,"R21","AI",130791,1,"",NA,9603274,"HUR, SUN ","Not Applicable","Boston Children's Hospital",NA,2017,265500,NA,"Include"
"347","Live imaging analyses of the mechanisms required for coordinated urinary tract peristalsis in lower-order and higher-order mammalian species","NIDDK",9530098,"1R21DK116171-01A1",1,"R21","DK",116171,1,"A1",NA,11141495,"HURTADO, ROMULO ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2018,211875,NA,"Include"
"348","Decoding Early Signs of Alzheimer's Disease in The Lateral Entorhinal Cortex Using Machine Learning","NIA",9891510,"1R21AG066168-01",1,"R21","AG",66168,1,"",NA,9231692,"HUSSAINI, SYED ABID ","Not Applicable","Columbia University Health Sciences",NA,2019,243000,NA,"Include"
"349","Manual Therapy for Fibrosis-related Late Effect Dysphagia in Head and Neck Cancer Survivors: The MANTLE Trial","NCI",9507482,"1R21CA226200-01",1,"R21","CA",226200,1,"",NA,10744304,"HUTCHESON, KATHERINE ARNOLD","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2018,208800,NA,"Include"
"350","Pluripotent Stem Cell-derived Liver Organoids as a Patient-based New Model for Deliverable Assessment of GH Insensitivity Syndrome","NICHD",9724773,"1R21HD098417-01",1,"R21","HD",98417,1,"",NA,11709093,"HWA, VIVIAN ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2019,238500,NA,"Include"
