"","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","Stats"
"203","Identifying modulators of dynein-based cargo motility","NINDS",8790875,"1K99NS086903-01A1",1,"K99","NS",86903,1,"A1",NA,9798641,"DRERUP, CATHERINE M","Not Applicable","Oregon Health & Science University",NA,2014,90720,NA,"Include"
"204","Rare and Common Pharmacogenetic Determinants of Corticosteroid Response in Asthma","NHLBI",8424546,"1K99HL116651-01",1,"K99","HL",116651,1,"",NA,10802382,"DUAN, QINGLING ","Not Applicable","Brigham And Women's Hospital",NA,2013,137160,NA,"Include"
"205","The role of PARP inhibitor target engagement in breast cancer","NCI",8956858,"1K99CA198857-01",1,"K99","CA",198857,1,"",NA,11743221,"DUBACH, JOHN ","Not Applicable","Massachusetts General Hospital",NA,2015,179058,NA,"Include"
"206","Investigating the role of interleukin-22 in thymus function","NCI",8488026,"1K99CA176376-01",1,"K99","CA",176376,1,"",NA,11385850,"DUDAKOV, JARROD ","Not Applicable","Sloan-Kettering Inst Can Research",NA,2013,178740,NA,"Include"
"207","The contribution of bacteriophages to host-microbe interactions in the intestine","NIDDK",8747735,"1K01DK102436-01",1,"K01","DK",102436,1,"",NA,10089907,"DUERKOP, BRECK A","Not Applicable","Ut Southwestern Medical Center",NA,2014,100715,NA,"Include"
"208","Patient-oriented Research in Pediatric Diarrheal Diseases","NIDDK",8821388,"9K24DK104676-06",9,"K24","DK",104676,6,"",NA,1885042,"DUGGAN, CHRISTOPHER P","Not Applicable","Boston Children's Hospital",NA,2015,180678,NA,"Include"
"209","Epicutaneous Tolerance Induction for the Treatment of Colitis","NIDDK",8891701,"1K08DK102978-01A1",1,"K08","DK",102978,1,"A1",NA,10755771,"DUNKIN, DAVID ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2015,152916,NA,"Include"
"210","Genes; early adversity; and sensitive periods in social-emotional development","NIMH",8765685,"1K01MH102403-01A1",1,"K01","MH",102403,1,"A1",NA,9664096,"DUNN, ERIN CATHLEEN","Not Applicable","Massachusetts General Hospital",NA,2014,185968,NA,"Include"
"211","Mechanisms of glucosensation mediating food choice behavior in Drosophila","NIDDK",8423858,"1K99DK097141-01",1,"K99","DK",97141,1,"",NA,11166217,"DUS, MONICA ","Not Applicable","New York University School Of Medicine",NA,2013,90000,NA,"Include"
"212","Tau Quantitation in AD with High Resolution MRI and PET","NIA",8949099,"1K01AG050711-01",1,"K01","AG",50711,1,"",NA,11445813,"DUTTA, JOYITA ","Not Applicable","Massachusetts General Hospital",NA,2015,129452,NA,"Include"
"213","Effect of diabetes on myelopoiesis and atherosclerosis","NHLBI",8617386,"1K99HL121076-01",1,"K99","HL",121076,1,"",NA,10974990,"DUTTA, PARTHA ","Not Applicable","Massachusetts General Hospital",NA,2014,136223,NA,"Include"
"214","Defining the Tendon Lineage to Improve Tissue Engineering Strategies","NIAMS",8971380,"1K99AR067283-01A1",1,"K99","AR",67283,1,"A1",NA,11149620,"DYMENT, NATHANIEL A.","Not Applicable","University Of Connecticut Sch Of Med/Dnt",NA,2015,108000,NA,"Include"
"215","The age-dependence of synaptic deficits in 22q11.2 deletion syndrome mouse models","NIMH",8566403,"1K99MH101240-01",1,"K99","MH",101240,1,"",NA,7251875,"EARLS, LAURIE R","Not Applicable","St. Jude Children's Research Hospital",NA,2013,88265,NA,"Include"
"216","Brainstem Network Determinants of Recovery from Traumatic Coma","NINDS",9012552,"1K23NS094538-01",1,"K23","NS",94538,1,"",NA,11311082,"EDLOW, BRIAN L.","Not Applicable","Massachusetts General Hospital",NA,2015,194536,NA,"Include"
"217","Decisions Around Chronic Ventilation for Children With Life-Limiting Conditions","NICHD",8805097,"1K23HD082361-01",1,"K23","HD",82361,1,"",NA,10649889,"EDWARDS, JEFFREY D.","Not Applicable","Columbia University Health Sciences",NA,2015,129837,NA,"Include"
"218","Functional genomic analysis of host determinants of malaria infection","NIAID",8581728,"1K08AI103034-01A1",1,"K08","AI",103034,1,"A1",NA,11265741,"EGAN, ELIZABETH S.","Not Applicable","Boston Children's Hospital",NA,2013,183276,NA,"Include"
"219","Intraoperative Optical Coherence Tomography for Ophthalmic Surgery","NEI",8580070,"1K23EY022947-01A1",1,"K23","EY",22947,1,"A1",NA,11240037,"EHLERS, JUSTIS ","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2013,203124,NA,"Include"
"220","New Horizons in Adult Neurogenesis","NIDA",8443199,"2K02DA023555-06",2,"K02","DA",23555,6,"",NA,1875943,"EISCH, AMELIA J","Not Applicable","Ut Southwestern Medical Center",NA,2013,120353,NA,"Include"
"221","Modulation of the S100A9/CD33 Pathway by the Flavonoids ICA and ICT on the Tumor","NCI",8751657,"1K01CA187020-01",1,"K01","CA",187020,1,"",NA,8495875,"EKSIOGLU, ERIKA ADRIANA","Not Applicable","H. Lee Moffitt Cancer Ctr & Res Inst",NA,2014,91116,NA,"Include"
"222","Functional dissection of the retron St-85 of Salmonella Typhimurium","NIAID",8765867,"1K08AI108794-01A1",1,"K08","AI",108794,1,"A1",NA,11705081,"ELFENBEIN, JOHANNA REBECCA","Not Applicable","Texas A&M University Health Science Ctr",NA,2014,8525,NA,"Include"
"223","Informatic Methods for Differential Signaling and Immune Co-Regulatory Expression","NLM",8869775,"1K01LM012100-01",1,"K01","LM",12100,1,"",NA,9889287,"ENG, KEVIN HASEGAWA","Not Applicable","Roswell Park Cancer Institute Corp",NA,2015,168195,NA,"Include"
"224","SREBP-Mediated Lipid Regulation in the Intestine","NIDDK",8751584,"1K08DK102652-01",1,"K08","DK",102652,1,"",NA,10847008,"ENGELKING, LUKE JAMES","Not Applicable","Ut Southwestern Medical Center",NA,2014,147246,NA,"Include"
"225","Neurobiological substrates of imminent smoking: A missing link in cue reactivity","NIDA",8581170,"1K01DA034752-01A1",1,"K01","DA",34752,1,"A1",NA,10817409,"ENGELMANN, JEFFREY MICHAEL","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2013,150768,NA,"Include"
"226","Role of mTORC1 in ventilator induced lung injury","NIGMS",8581581,"1K08GM102695-01A1",1,"K08","GM",102695,1,"A1",NA,10725910,"ENGLERT, JOSHUA A","Not Applicable","Brigham And Women's Hospital",NA,2013,199441,NA,"Include"
"227","Membrane-Based Mechanisms of Hepatic Insulin Resistance","NIDDK",8758031,"1K01DK102733-01",1,"K01","DK",102733,1,"",NA,10490212,"ERSOY, BARAN ","Not Applicable","Brigham And Women's Hospital",NA,2014,157900,NA,"Include"
"228","Sculpting the Enteric Microbiota with CRISPR-Cas Systems","NIDDK",8751445,"1K99DK102669-01",1,"K99","DK",102669,1,"",NA,11971913,"ESVELT, KEVIN ","Not Applicable","Harvard Medical School",NA,2014,90000,NA,"Include"
"229","Noninvasive measurement of oncogenic signaling pathways with 89Zr-transferrin","NCI",8425727,"1K99CA172695-01",1,"K99","CA",172695,1,"",NA,10718110,"EVANS, MICHAEL JOHN","Not Applicable","Sloan-Kettering Inst Can Research",NA,2013,90819,NA,"Include"
"230","The mechanism of Shigella flexneri adherence during the early infection process","NIAID",8485328,"1K22AI104755-01",1,"K22","AI",104755,1,"",NA,10639883,"FAHERTY, CHRISTINA S","Not Applicable","Massachusetts General Hospital",NA,2014,162000,NA,"Include"
"231","Adaptive regulation of cancer cell fate following oncogene inhibition","NCI",8868342,"1K99CA194163-01",1,"K99","CA",194163,1,"",NA,11257997,"FALLAHI-SICHANI, MOHAMMAD ","Not Applicable","Harvard Medical School",NA,2015,120183,NA,"Include"
"232","New Tools for the interpretation of Pathogen Genomic Data with a focus on Mycobacterium tuberculosis","NIEHS",9044227,"1K01ES026835-01",1,"K01","ES",26835,1,"",NA,11405011,"FARHAT, MAHA ","Not Applicable","Massachusetts General Hospital",NA,2015,230806,NA,"Include"
"233","TestED!: Applying Implementation Science to improve an HIV testing strategy for Emergency Departments","NIMH",8992525,"1K23MH106386-01A1",1,"K23","MH",106386,1,"A1",NA,11492599,"FELSEN, URIEL ","Not Applicable","Albert Einstein College Of Medicine, Inc",NA,2015,181456,NA,"Include"
"234","Boston University Clinical and Translational Science Institute","NCATS",9084912,"1KL2TR001411-01",1,"KL2","TR",1411,1,"",NA,1877725,"FELSON, DAVID TOBIN","Not Applicable","Boston University Medical Campus",NA,2015,467195,NA,"Include"
"235","Structural Aspects of Oligomerization in the Function of GPCRs","NIDA",8635658,"2K02DA026434-06",2,"K02","DA",26434,6,"",NA,6762349,"FILIZOLA, MARTA ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2014,124416,NA,"Include"
"236","Mentored Career Development for Child and Family Centered Outcomes Research","AHRQ",8702311,"1K12HS022986-01",1,"K12","HS",22986,1,"",NA,1911916,"FINKELSTEIN, JONATHAN A","Not Applicable","Boston Children's Hospital",NA,2014,862380,NA,"Include"
"237","Cancer and Stem Cell Dynamics in the Intestine","NCI",8765556,"1K99CA181679-01A1",1,"K99","CA",181679,1,"A1",NA,8866989,"FISCHER, JARED MICHAEL","Not Applicable","Oregon Health & Science University",NA,2014,101772,NA,"Include"
"238","Developing an Implementation Program to Optimize Uptake of HIV Pre-Exposure Prophylaxis among Black Women in Primary Care Settings","NIMH",9063893,"1K23MH109358-01",1,"K23","MH",109358,1,"",NA,11182698,"FLASH, CHARLENE A","Not Applicable","Baylor College Of Medicine",NA,2015,170807,NA,"Include"
"239","Air Pollution Exposure during Pregnancy; Maternal Glycemia; and Offspring Growth","NIEHS",8805031,"1K23ES024803-01",1,"K23","ES",24803,1,"",NA,11008907,"FLEISCH, ABBY ","Not Applicable","Boston Children's Hospital",NA,2015,166724,NA,"Include"
"240","Neurophysiology of response inhibition in PD","NINDS",9033227,"1K23NS091344-01A1",1,"K23","NS",91344,1,"A1",NA,9274812,"FLODEN, DARLENE ","Not Applicable","Cleveland Clinic Lerner Com-Cwru",NA,2015,168147,NA,"Include"
"241","Improving Metformin Utilization And Diabetes Control Through Patient-Centered Outcomes Research","AHRQ",8869461,"1K08HS023898-01",1,"K08","HS",23898,1,"",NA,10081258,"FLORY, JAMES H","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2015,152140,NA,"Include"
"242","Use of resting-state networks to predict the ideal site for brain stimulation","NINDS",8567020,"1K23NS083741-01",1,"K23","NS",83741,1,"",NA,7231161,"FOX, MICHAEL D","Not Applicable","Massachusetts General Hospital",NA,2013,51540,NA,"Include"
"243","Genome-wide measurement of bacterial transcriptional regulatory states","NIGMS",8510026,"1K99GM097033-01A1",1,"K99","GM",97033,1,"A1",NA,10291948,"FREDDOLINO, PETER L","Not Applicable","Columbia University Health Sciences",NA,2013,90000,NA,"Include"
"244","Specialized pro-resolving mediators in atherosclerosis","NHLBI",8566813,"1K99HL119587-01",1,"K99","HL",119587,1,"",NA,10564907,"FREDMAN, GABRIELLE ","Not Applicable","Columbia University Health Sciences",NA,2013,108000,NA,"Include"
"245","Modeling Polycystic Kidney Disease Using Human Induced Pluripotent Stem Cells","NIDDK",8754901,"1K01DK102826-01",1,"K01","DK",102826,1,"",NA,10307161,"FREEDMAN, BENJAMIN SOLOMON","Not Applicable","Brigham And Women's Hospital",NA,2014,157964,NA,"Include"
"246","Mentored Clinical Scientist Research Career Development Award","NICHD",8968030,"1K08HD082287-01A1",1,"K08","HD",82287,1,"A1",NA,11708365,"FRIEDMAN, ALEXANDER M","Not Applicable","Columbia University Health Sciences",NA,2015,130682,NA,"Include"
"247","Microbial translocation; inflammation; and adverse pregnancy outcomes in humans","NIAID",8888207,"1K24AI112964-01A1",1,"K24","AI",112964,1,"A1",NA,2047167,"FRIEDMAN, JENNIFER F","Not Applicable","Rhode Island Hospital",NA,2015,159287,NA,"Include"
"248","Establishment and Application of a Library of Site-Specific Glycosylation Pattern","NIDDK",8679221,"1K01DK101632-01",1,"K01","DK",101632,1,"",NA,11121170,"FROEHLICH, JOHN WILLIAM","Not Applicable","Boston Children's Hospital",NA,2014,131693,NA,"Include"
"249","Mechanisms and Consequences of Heterochromatin Loss in Tauopathies","NINDS",8760586,"1K99NS088429-01",1,"K99","NS",88429,1,"",NA,8443526,"FROST, BESS E","Not Applicable","Brigham And Women's Hospital",NA,2014,92880,NA,"Include"
"250","Interferon Effector Gene Activation to Circumvent Viral Impedance","NIAID",8764488,"1K08AI108629-01A1",1,"K08","AI",108629,1,"A1",NA,9708742,"FUSCO, DAHLENE NICOLE","Not Applicable","Massachusetts General Hospital",NA,2014,186192,NA,"Include"
"251","Delineation of a cytokine gene regulatory network and rewiring in disease","NIGMS",8867410,"1K99GM114296-01",1,"K99","GM",114296,1,"",NA,10925612,"FUXMAN BASS, JUAN IGNACIO","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2015,90000,NA,"Include"
"252","School-based air pollution and asthma morbidity in Inner City School Children","NIAID",8566468,"1K23AI106945-01",1,"K23","AI",106945,1,"",NA,10552530,"GAFFIN, JONATHAN MARK","Not Applicable","Boston Children's Hospital",NA,2013,182876,NA,"Include"
"253","Genetics of Sessile Serrated Polyps","NIDDK",8767164,"1K23DK103119-01",1,"K23","DK",103119,1,"",NA,10930232,"GALA, MANISH ","Not Applicable","Massachusetts General Hospital",NA,2014,186192,NA,"Include"
"254","Application of Cognitive; Emotional and Biological Dimensions  - Resubmission - 1","NIMH",8767056,"1K01MH102415-01A1",1,"K01","MH",102415,1,"A1",NA,11587536,"GALATZER-LEVY, ISAAC R","Not Applicable","New York University School Of Medicine",NA,2014,167317,NA,"Include"
"255","Cholesterol promotes breast cancer progression: establishing the mechanisms","NCI",8804581,"1K08CA190770-01",1,"K08","CA",190770,1,"",NA,11672690,"GALLAGHER, EMILY JANE","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2014,168571,NA,"Include"
"256","MicroRNAs as Biomarkers in First-episode Schizophrenia","NIMH",8487628,"1K23MH100264-01",1,"K23","MH",100264,1,"",NA,10442806,"GALLEGO, JUAN ANDRES","Not Applicable","Feinstein Institute For Medical Research",NA,2013,181092,NA,"Include"
"257","Mechanisms of monocytosis and accelerated atherosclerosis in patients with CKD","NIDDK",8581168,"1K23DK097288-01A1",1,"K23","DK",97288,1,"A1",NA,9304741,"GANDA, ANJALI ","Not Applicable","Columbia University Health Sciences",NA,2013,181332,NA,"Include"
"258","Improving Care Utilization and Outcomes in Transitioning Youth with Diabetes","NIDDK",8751484,"1K23DK102655-01",1,"K23","DK",102655,1,"",NA,10166749,"GARVEY, KATHARINE ","Not Applicable","Boston Children's Hospital",NA,2014,178855,NA,"Include"
"259","CRISPR/Cas9-Based Functional Characterization of ANK2 Mutations in ASD Neural Circuitry","NINDS",9014157,"1K22NS094591-01",1,"K22","NS",94591,1,"",NA,9176698,"GARZA, JACOB C","Not Applicable","Massachusetts General Hospital",NA,2015,84431,NA,"Include"
"260","The role of RHO GTPases and of coenzyme Q10 in nephrotic syndrome","NIDDK",8869180,"1K99DK105335-01",1,"K99","DK",105335,1,"",NA,11708321,"GEE, HEON YUNG ","Not Applicable","Boston Children's Hospital",NA,2015,91500,NA,"Include"
"261","Visualization of (Epi)Genomic Data for Discovery of Disease-Associated Variants","NHGRI",8633263,"1K99HG007583-01A1",1,"K99","HG",7583,1,"A1",NA,10917418,"GEHLENBORG, NILS ","Not Applicable","Harvard Medical School",NA,2014,88642,NA,"Include"
"262","Hypertensive Mechanisms in Preeclampsia","NHLBI",8425342,"1K99HL116774-01",1,"K99","HL",116774,1,"",NA,10456687,"GEORGE, ERIC MATTHEW","Not Applicable","University Of Mississippi Med Ctr",NA,2013,69624,NA,"Include"
"263","Evaluation of impact of anti-VEGF drugs on concomitant chemotherapy in GBM","NCI",8699478,"1K23CA169021-01A1",1,"K23","CA",169021,1,"A1",NA,9577741,"GERSTNER, ELIZABETH ","Not Applicable","Massachusetts General Hospital",NA,2014,179280,NA,"Include"
"264","Post-transcriptional Control of Gene Expression in Inflammatory Bowel Disease","NIDDK",9034162,"1K08DK102957-01A1",1,"K08","DK",102957,1,"A1",NA,11042923,"GHANEM, LOUIS ","Not Applicable","Children's Hosp Of Philadelphia",NA,2015,147667,NA,"Include"
"265","Role of alternatively spliced Tissue Factor in atherosclerosis","NHLBI",8443278,"1K23HL111339-01A1",1,"K23","HL",111339,1,"A1",NA,10770917,"GIANNARELLI, CHIARA ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2013,142340,NA,"Include"
"266","Neurobehavioral Characterization of Social Influence in Drug Addiction","NIDA",8508458,"1K01DA034093-01A1",1,"K01","DA",34093,1,"A1",NA,10900074,"GILMAN, JODI ","Not Applicable","Massachusetts General Hospital",NA,2013,185218,NA,"Include"
"267","Contributions of Glial Glutamate Transport and NMDA Receptors in Nicotine Relapse","NIDA",8618455,"1K99DA036569-01",1,"K99","DA",36569,1,"",NA,9706320,"GIPSON-REICHARDT, CASSANDRA D","Not Applicable","Medical University Of South Carolina",NA,2014,131054,NA,"Include"
"268","Infection and Cancer Research: A New Frontier in Cancer Prevention and Control","NCI",8751326,"1K05CA181320-01A1",1,"K05","CA",181320,1,"A1",NA,1872587,"GIULIANO, ANNA R.","Not Applicable","H. Lee Moffitt Cancer Ctr & Res Inst",NA,2014,86194,NA,"Include"
"269","The Sox9/NFIA Transcriptional Network In Malignant Glioma","NCI",8966316,"1K01CA190235-01A1",1,"K01","CA",190235,1,"A1",NA,9020022,"GLASGOW, STACEY MARIE","Not Applicable","Baylor College Of Medicine",NA,2015,140400,NA,"Include"
"270","Inhaled Mometasone to Promote Reduction in Vaso-occlusive Events (IMPROVE)","NHLBI",8563725,"1K23HL119351-01",1,"K23","HL",119351,1,"",NA,11067694,"GLASSBERG, JEFFREY AVINS","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2013,157433,NA,"Include"
"271","Systems microscopy analysis of tumor cell motility in microenvironment context","NCI",8424468,"1K99CA172360-01",1,"K99","CA",172360,1,"",NA,10381742,"GLIGORIJEVIC, BOJANA ","Not Applicable","Albert Einstein College Of Medicine",NA,2013,140395,NA,"Include"
"272","Osmotic therapy for seizures in pediatric traumatic brain injury","NINDS",9031246,"1K08NS091248-01A1",1,"K08","NS",91248,1,"A1",NA,12172326,"GLYKYS, JOSEPH C.","Not Applicable","Massachusetts General Hospital",NA,2015,193920,NA,"Include"
"273","ESTROGEN RECEPTOR TARGETED TREATMENT OF NON-MUSCLE INVASIVE BLADDER CANCER","NCI",8581543,"1K23CA160664-01A1",1,"K23","CA",160664,1,"A1",NA,10666285,"GODOY, GUILHERME ","Not Applicable","Baylor College Of Medicine",NA,2013,142986,NA,"Include"
"274","Investigating cross-regulation of the microbiome and mucosal immune system using humanized mice","NIDDK",8949754,"1K01DK106311-01",1,"K01","DK",106311,1,"",NA,11014938,"GOETTEL, JEREMY ALLEN","Not Applicable","Boston Children's Hospital",NA,2015,151944,NA,"Include"
"275","Characterizing the role of TTBK proteins in ciliogenesis and neural function","NICHD",8509461,"1K99HD076444-01A1",1,"K99","HD",76444,1,"A1",NA,9166011,"GOETZ, SARAH ","Not Applicable","Sloan-Kettering Inst Can Research",NA,2013,95998,NA,"Include"
"276","Identifying Factors Associated With High Quality Pediatric Primary Care","NICHD",8889787,"1K23HD080870-01A1",1,"K23","HD",80870,1,"A1",NA,10282145,"GOFF, SARAH L","Not Applicable","Baystate Medical Center",NA,2015,127143,NA,"Include"
"277","Re-evalulating the hematopoetic stem cell pool to enhance the transplantable population","NHLBI",8961304,"1K08HL118117-01A1",1,"K08","HL",118117,1,"A1",NA,11131188,"GOLDBERG, LAURA RACHEL","Not Applicable","Rhode Island Hospital",NA,2015,133839,NA,"Include"
"278","Smoke induced alterations in ion channel function","NHLBI",8967798,"1K08HL126071-01A1",1,"K08","HL",126071,1,"A1",NA,10797626,"GOLDKLANG, MONICA PRASAD","Not Applicable","Columbia University Health Sciences",NA,2015,130842,NA,"Include"
"279","Nasal progenitor cells and olfactory neurogenesis","NIDCD",8766365,"1K08DC013556-01A1",1,"K08","DC",13556,1,"A1",NA,11683177,"GOLDSTEIN, BRADLEY JOHN","Not Applicable","University Of Miami School Of Medicine",NA,2014,221233,NA,"Include"
"280","Hormones and Genes in Women's Health: Bench to Bedside","NICHD",8991806,"2K12HD051959-11",2,"K12","HD",51959,11,"",NA,1880175,"GOLDSTEIN, JILL M","Not Applicable","Brigham And Women's Hospital",NA,2015,90001,NA,"Include"
"281","Global Health Research and Training in malaria and cholera: opportunities for nov","NIAID",8679737,"1K24AI110732-01",1,"K24","AI",110732,1,"",NA,1888998,"GOLIGHTLY, LINNIE ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2014,172094,NA,"Include"
"282","Targeting the Microenvironment in Gastric Chemoprevention","NIDDK",8767253,"1K08DK100544-01A1",1,"K08","DK",100544,1,"A1",NA,9792248,"GONDA, TAMAS ","Not Applicable","Columbia University Health Sciences",NA,2014,153360,NA,"Include"
"283","Maintenance of Ideal Cardiovascular Health across the Life Course in Women","NHLBI",8821698,"1K23HL122361-01A1",1,"K23","HL",122361,1,"A1",NA,10994406,"GOODING, HOLLY CATHERINE","Not Applicable","Boston Children's Hospital",NA,2015,137093,NA,"Include"
"284","Conserved Immune Response to Sensing Cytosolic DNA","NIAID",8567657,"1K99AI106963-01",1,"K99","AI",106963,1,"",NA,10863889,"GOODMAN, ALAN GABRIEL","Not Applicable","University Of Miami School Of Medicine",NA,2013,90000,NA,"Include"
"285","Genomic epidemiology of Neisseria gonorrhoeae with elevated MICs to cefixime","NIAID",8487485,"1K08AI104767-01",1,"K08","AI",104767,1,"",NA,10638761,"GRAD, YONATAN H","Not Applicable","Brigham And Women's Hospital",NA,2013,185220,NA,"Include"
"286","Interactions of Centella asiatica; mitochondrial function and oxidative stress during aging","NCCIH",8950025,"1K99AT008831-01",1,"K99","AT",8831,1,"",NA,11545824,"GRAY, NORA ","Not Applicable","Oregon Health & Science University",NA,2015,134190,NA,"Include"
"287","Frailty related risk: Poor physiologic reserve during and after valve replacement","NHLBI",8617894,"1K23HL121142-01",1,"K23","HL",121142,1,"",NA,10718844,"GREEN, PHILIP ","Not Applicable","Columbia University Health Sciences",NA,2014,94447,NA,"Include"
"288","Identifying the molecular mechanisms of transgenerational epigenetic inheritance","NIA",8581376,"1K99AG043550-01A1",1,"K99","AG",43550,1,"A1",NA,8148709,"GREER, ERIC LIEBERMAN","Not Applicable","Boston Children's Hospital",NA,2013,134730,NA,"Include"
"289","CD33 and Alzheimer's Disease: from Biology to Therapy","NIA",8803882,"1K99AG049056-01",1,"K99","AG",49056,1,"",NA,12085130,"GRICIUC, ANA ","Not Applicable","Massachusetts General Hospital",NA,2015,137160,NA,"Include"
"290","Addressing Poverty-Related Barriers to Prevent Obesity Beginning in Infancy","NICHD",8759440,"1K23HD081077-01",1,"K23","HD",81077,1,"",NA,10829359,"GROSS, RACHEL SHARON","Not Applicable","Albert Einstein College Of Medicine",NA,2014,135945,NA,"Include"
"291","Dietary Factors and Neuroimaging Markers","NIA",8510290,"1K99AG042483-01A1",1,"K99","AG",42483,1,"A1",NA,10382657,"GU, YIAN ","Not Applicable","Columbia University Health Sciences",NA,2013,100971,NA,"Include"
"292","Neuroimaging of deep brain stimulation patients using safe MRI excitations","NIBIB",8961104,"1K99EB019482-01A1",1,"K99","EB",19482,1,"A1",NA,11817351,"GUERIN, BASTIEN ","Not Applicable","Massachusetts General Hospital",NA,2015,93831,NA,"Include"
"293","A Novel Approach to Reduce Pain; Prescription Opioid Use & Misuse in Pregnancy","NIDA",8868754,"1K23DA039318-01",1,"K23","DA",39318,1,"",NA,9715478,"GUILLE, CONSTANCE ","Not Applicable","Medical University Of South Carolina",NA,2015,182984,NA,"Include"
"294","Oregon Patient Centered Outcomes Research K12 Program","AHRQ",8701865,"1K12HS022981-01",1,"K12","HS",22981,1,"",NA,1861404,"GUISE, JEANNE-MARIE ","Not Applicable","Oregon Health & Science University",NA,2014,822749,NA,"Include"
"295","Study of Aqueous Humor Dynamics in a Pediatric Population","NEI",8487130,"1K23EY023266-01",1,"K23","EY",23266,1,"",NA,11206021,"GULATI, VIKAS ","Not Applicable","University Of Nebraska Medical Center",NA,2013,213313,NA,"Include"
"296","The role of autophagy in Kras-driven lung cancer","NCI",8966851,"1K22CA190521-01A1",1,"K22","CA",190521,1,"A1",NA,11768709,"GUO, YANXIANG ","Not Applicable","Rbhs -Cancer Institute Of New Jersey",NA,2015,209628,NA,"Include"
"297","Molecular Neuroimaging of Disease Mechanisms in Cerebral Amyloid Angiopathy","NINDS",8700727,"1K23NS083711-01A1",1,"K23","NS",83711,1,"A1",NA,10568569,"GUROL, MAHMUT EDIP","Not Applicable","Massachusetts General Hospital",NA,2014,194536,NA,"Include"
"298","Biologic and therapeutic relevance of DNMT3A mutations in acute myeloid leukemia","NCI",8567405,"1K99CA178191-01",1,"K99","CA",178191,1,"",NA,10335563,"GURYANOVA, OLGA A","Not Applicable","Sloan-Kettering Inst Can Research",NA,2013,97945,NA,"Include"
"299","Effectiveness of a unified transdiagnostic treatment in routine clinical care","NIMH",8816468,"1K23MH103396-01A1",1,"K23","MH",103396,1,"A1",NA,11550599,"GUTNER, CASSIDY AUBIN","Not Applicable","Boston University Medical Campus",NA,2015,177539,NA,"Include"
"300","Renal Sinus Fat; Hypertension; and Altered Kidney Function","NIDDK",8821415,"1K08DK099415-01A1",1,"K08","DK",99415,1,"A1",NA,10908609,"HALL, MICHAEL EDWARD","Not Applicable","University Of Mississippi Med Ctr",NA,2015,149490,NA,"Include"
"301","Molecular mechanisms of glycoprotein E in HSV cell-cell transmission","NIAID",8679434,"1K99AI110648-01",1,"K99","AI",110648,1,"",NA,10340703,"HAN, JUN ","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2014,90000,NA,"Include"
"302","Unexpected Consequences of Insulin Resistance for the Heart","NHLBI",8509455,"1K99HL112952-01A1",1,"K99","HL",112952,1,"A1",NA,10919030,"HARMANCEY, ROMAIN ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2013,88724,NA,"Include"
"303","Frontal Cortical Gamma Oscillations Mark ContaminationObsessions in Youth","NIMH",8635789,"1K23MH100640-01A1",1,"K23","MH",100640,1,"A1",NA,9797669,"HARRIS, ELANA ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2014,177817,NA,"Include"
"304","A novel axis regulates adipocyte plasticity","NIDDK",8508348,"1K01DK096093-01A1",1,"K01","DK",96093,1,"A1",NA,9561894,"HARTIG, SEAN ","Not Applicable","Baylor College Of Medicine",NA,2013,148008,NA,"Include"
"305","Regulation of Cortical Circuit Development by Sonic Hedgehog Signaling","NINDS",8804533,"1K01NS089720-01",1,"K01","NS",89720,1,"",NA,3152899,"HARWELL, COREY C","Not Applicable","Harvard Medical School",NA,2014,222475,NA,"Include"
"306","A Systems Biology Approach to Understanding Bariatric Surgery","NIDDK",8767955,"1K01DK100613-01A1",1,"K01","DK",100613,1,"A1",NA,10726547,"HATOUM, IDA JODETTE","Not Applicable","Massachusetts General Hospital",NA,2014,159092,NA,"Include"
"307","CD200 as a monocyte/macrophage switch for brain repair after stroke","NINDS",8425585,"1K99NS080991-01",1,"K99","NS",80991,1,"",NA,10996106,"HAYAKAWA, KAZUHIDE ","Not Applicable","Massachusetts General Hospital",NA,2013,90000,NA,"Include"
"308","Regulation of upper lip development by PDGFR Alpha andRac1 signaling","NIDCR",8768336,"1K99DE024617-01",1,"K99","DE",24617,1,"",NA,11350418,"HE, FENGLEI ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2014,89100,NA,"Include"
