"","X.1","Project.Title","Administering..IC","Application.ID","Project.Number","Type","Activity","IC","Serial.Number","Support.Year","Suffix","Subproject.Number","Contact.PI..Person.ID","Contact.PI...Project.Leader","Other.PI.or.Project.Leader.s.","Organization.Name","ARRA.Indicator","FY","FY.Total.Cost","FY.Total.Cost...Sub.Projects.","X","Stats"
"565",2074,"Molecular Mechanisms of GABAergic Synapse Modulation by TAFA","NIMH",9709902,"1R01MH119105-01",1,"R01","MH",119105,1,"",NA,8534218,"LEE, SANG H","Not Applicable","Medical College Of Wisconsin",NA,2019,385000,NA,NA,"Include"
"566",2077,"Transcriptional regulators of motor columnar specification","NINDS",9754418,"1R01NS111760-01",1,"R01","NS",111760,1,"",NA,8347670,"LEE, SOO-KYUNG ","Not Applicable","Oregon Health & Science University",NA,2019,518404,NA,NA,"Include"
"567",2085,"Tools to broaden access to high-throughput functional connectomics","NIMH",9822460,"1RF1MH117808-01A1",1,"RF1","MH",117808,1,"A1",NA,8837481,"LEE, WEI-CHUNG ALLEN ","SEUNG, HYUNJUNE SEBASTIAN;TUTHILL, JOHN COMBER","Harvard Medical School",NA,2019,4347595,NA,NA,"Include"
"568",2086,"3D Umbilical Venous Blood Flow - A New Paradigm for Improving the Assessment of Fetal Growth Restriction.","NICHD",9818664,"1R01HD097756-01A1",1,"R01","HD",97756,1,"A1",NA,1985102,"LEE, WESLEY  ","FOWLKES, JEFFREY B","Baylor College Of Medicine",NA,2019,678864,NA,NA,"Include"
"569",2088,"Endogenous Hydrogen Sulfide Enzymes in Heart Failure","NHLBI",9687055,"1R01HL146098-01",1,"R01","HL",146098,1,"",NA,1950355,"LEFER, DAVID JOSEPH","Not Applicable","Lsu Health Sciences Center",NA,2019,401281,NA,NA,"Include"
"570",2089,"The Friend to Friend Program: Effectiveness when Conducted by School Staff","NICHD",9662474,"1R01HD094833-01A1",1,"R01","HD",94833,1,"A1",NA,2262641,"LEFF, STEPHEN S","Not Applicable","Children's Hosp Of Philadelphia",NA,2019,640047,NA,NA,"Include"
"571",2090,"A Functional and Selective Toolkit for Choroid Plexus Networks","NIDA",9798116,"1RF1DA048790-01",1,"RF1","DA",48790,1,"",NA,10386386,"LEHTINEN, MARIA  ","MOORE, CHRISTOPHER I","Boston Children's Hospital",NA,2019,3342269,NA,NA,"Include"
"572",2099,"Antisense therapy for the treatment of visual loss in Usher syndrome","NEI",9800941,"1R01EY030499-01",1,"R01","EY",30499,1,"",NA,10450492,"LENTZ, JENNIFER JEAN ","KOENEKOOP, ROBERT ","Lsu Health Sciences Center",NA,2019,357630,NA,NA,"Include"
"573",2107,"Opioid use disorders in adolescents: predictors of treatment and outcomes","NIDA",9638137,"1R01DA047396-01",1,"R01","DA",47396,1,"",NA,7747869,"LESLIE, DOUGLAS L.","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2019,724242,NA,NA,"Include"
"574",2109,"Dissecting the means by which type 3 substrates are defined & secreted","NIAID",9740333,"1R01AI128360-01A1",1,"R01","AI",128360,1,"A1",NA,1900166,"LESSER, CAMMIE ","Not Applicable","Massachusetts General Hospital",NA,2019,510186,NA,NA,"Include"
"575",2110,"High Throughput screen to identify 'first of their kind' activators of ADCY10","NIA",9643308,"1R01AG061290-01",1,"R01","AG",61290,1,"",NA,1883064,"LEVIN, LONNY R ","BUCK, JOCHEN ","Weill Medical Coll Of Cornell Univ",NA,2019,566037,NA,NA,"Include"
"576",2119,"Neuroprogression across the Psychosis Spectrum in the Early Course of Illness","NIMH",9739617,"1R01MH117012-01A1",1,"R01","MH",117012,1,"A1",NA,10180123,"LEWANDOWSKI, KATHRYN EVE","Not Applicable","Mclean Hospital",NA,2019,490282,NA,NA,"Include"
"577",2121,"Memory; Phenotype; and Function of TB-reactive Human MR1 Restricted T cells","NIAID",9659631,"1R01AI129980-01A1",1,"R01","AI",129980,1,"A1",NA,1860395,"LEWINSOHN, DAVID M. ","LEWINSOHN, DEBORAH A.","Oregon Health & Science University",NA,2019,654713,NA,NA,"Include"
"578",2135,"Exercise pressor reflex in peripheral artery disease: beneficial effects of heating and mechanisms","NHLBI",9734620,"1R01HL141198-01A1",1,"R01","HL",141198,1,"A1",NA,6522056,"LI, JIANHUA  ","CUI, JIAN ","Pennsylvania State Univ Hershey Med Ctr",NA,2019,747404,NA,NA,"Include"
"579",2138,"Dynamic Prediction of Renal Failure Using Longitudinal Prognostic Information among Patients with Chronic Kidney Disease and Kidney Transplant","NIDDK",9736586,"1R01DK118079-01A1",1,"R01","DK",118079,1,"A1",NA,8640794,"LI, LIANG  ","ASTOR, BRAD C;GREENE, TOM ","University Of Tx Md Anderson Can Ctr",NA,2019,316857,NA,NA,"Include"
"580",2143,"Cortico-cerebellar interactions underlying motor planning and movement","NINDS",9799839,"1R01NS112312-01",1,"R01","NS",112312,1,"",NA,9836879,"LI, NUO ","Not Applicable","Baylor College Of Medicine",NA,2019,350000,NA,NA,"Include"
"581",2148,"Regulation of bile acid metabolism and signaling in metabolic diseases","NIDDK",9739504,"1R01DK117965-01A1",1,"R01","DK",117965,1,"A1",NA,8874044,"LI, TIANGANG ","Not Applicable","University Of Kansas Medical Center",NA,2019,344250,NA,NA,"Include"
"582",2149,"DNA Methylation Canyons in Human Cancers:  Methods; Target Genes and Functional Consequences","NCI",9681210,"1R01CA228140-01A1",1,"R01","CA",228140,1,"A1",NA,9467346,"LI, WEI ","Not Applicable","Baylor College Of Medicine",NA,2019,593614,NA,NA,"Include"
"583",2155,"Imaging post-traumatic osteoarthritis 10-years after ACL reconstruction: a multicenter cohort study with quantitative MRI","NIAMS",9765881,"1R01AR075422-01",1,"R01","AR",75422,1,"",NA,8362647,"LI, XIAOJUAN  ","SPINDLER, KURT PAUL","Cleveland Clinic Lerner Com-Cwru",NA,2019,696314,NA,NA,"Include"
"584",2159,"Regulation of y-secretase activity by modulatory proteins","NIA",9642487,"1R01AG061350-01",1,"R01","AG",61350,1,"",NA,7848058,"LI, YUEMING ","Not Applicable","Sloan-Kettering Inst Can Research",NA,2019,890974,NA,NA,"Include"
"585",2164,"In vivo Probe for ionotropic glutamate signaling system: AMPA receptors","NIMH",9802271,"1R01MH120197-01",1,"R01","MH",120197,1,"",NA,11690559,"LIANG, STEVEN HUAN","Not Applicable","Massachusetts General Hospital",NA,2019,719969,NA,NA,"Include"
"586",2165,"Genomic and Functional Analysis of IRF6 Target Genes in Orofacial Cleft Pathogenesis","NIDCR",9738049,"1R01DE027983-01A1",1,"R01","DE",27983,1,"A1",NA,9938790,"LIAO, ERIC CHIEN-WEI","Not Applicable","Massachusetts General Hospital",NA,2019,721961,NA,NA,"Include"
"587",2166,"Novel mechanisms of the thrombotic complications of atherosclerosis","NHLBI",9661019,"1R01HL134892-01A1",1,"R01","HL",134892,1,"A1",NA,1866701,"LIBBY, PETER ","Not Applicable","Brigham And Women's Hospital",NA,2019,420956,NA,NA,"Include"
"588",2172,"Caspase-8 as a focal hub in effector-triggered immunity","NIAID",9811189,"1R01AI146855-01",1,"R01","AI",146855,1,"",NA,7973281,"LIEN, EGIL ","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2019,584061,NA,NA,"Include"
"589",2180,"High-Throughput De Novo Glycan Sequencing","NIGMS",9713593,"1R01GM132675-01",1,"R01","GM",132675,1,"",NA,9664103,"LIN, CHENG  ","HONG, PENGYU ","Boston University Medical Campus",NA,2019,462286,NA,NA,"Include"
"590",2184,"Development of Long non-coding RNA-directed Target Therapy for Triple-Negative Breast Cancer","NCI",9733495,"1R01CA231011-01A1",1,"R01","CA",231011,1,"A1",NA,10941578,"LIN, CHUNRU ","Not Applicable","University Of Tx Md Anderson Can Ctr",NA,2019,366000,NA,NA,"Include"
"591",2185,"Generation of New Mouse Models of Low Nephron Numbers to Understand Pathogenesis of AKI and CKD in Humans Born Preterm","NIDDK",9740024,"1R01DK118140-01A1",1,"R01","DK",118140,1,"A1",NA,6826278,"LIN, FANGMING ","Not Applicable","Columbia University Health Sciences",NA,2019,424250,NA,NA,"Include"
"592",2186,"A NOVEL REGULATOR OF CORNEAL WOUND HEALING","NEI",9714534,"1R01EY030111-01",1,"R01","EY",30111,1,"",NA,6571178,"LIN, FENG C ","TAM, K. P. CONNIE ","Cleveland Clinic Lerner Com-Cwru",NA,2019,400000,NA,NA,"Include"
"593",2187,"Selective Plasmodium proteasome inhibitors as novel multi-stage antimalarials","NIAID",9835438,"1R01AI143714-01A1",1,"R01","AI",143714,1,"A1",NA,10356821,"LIN, GANG ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2019,754755,NA,NA,"Include"
"594",2189,"Assessing the effectiveness of oral anticoagulants in patients with atrial fibrillation at high risk of underutilization due to dementia; recurrent falls; or poor anticoagulation quality","NIA",9711944,"1RF1AG063381-01",1,"RF1","AG",63381,1,"",NA,14468563,"LIN, JOSHUA K","Not Applicable","Brigham And Women's Hospital",NA,2019,2150379,NA,NA,"Include"
"595",2194,"MMP-12 as an Endogenous Post-MI Resolution Promoting Factor","NHLBI",9659448,"1R01HL137319-01A1",1,"R01","HL",137319,1,"A1",NA,2085149,"LINDSEY, MERRY L","Not Applicable","University Of Nebraska Medical Center",NA,2019,381250,NA,NA,"Include"
"596",2195,"Mechanisms of sex differences in neonatal pulmonary oxygen toxicity","NHLBI",9818142,"1R01HL144775-01A1",1,"R01","HL",144775,1,"A1",NA,12255791,"LINGAPPAN, KRITHIKA ","Not Applicable","Baylor College Of Medicine",NA,2019,552222,NA,NA,"Include"
"597",2196,"An exercise intervention to Reduce Neuropathic Pain and Brain Inflammation after Spinal Cord Injury","NICHD",9818209,"1R01HD097407-01A1",1,"R01","HD",97407,1,"A1",NA,10317173,"LINNMAN, CLAS ","Not Applicable","Spaulding Rehabilitation Hospital",NA,2019,860423,NA,NA,"Include"
"598",2198,"Elucidating the Role of MALAT1 Somatic Driver Mutations in Colorectal Cancer","NCI",9669592,"1R01CA227722-01A1",1,"R01","CA",227722,1,"A1",NA,1873540,"LIPKIN, STEVEN M","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2019,387731,NA,NA,"Include"
"599",2202,"Diagnostic and prognostic biomarkers for subtypes of addiction-related circuit dysfunction","NIDA",9840077,"1R01DA047851-01A1",1,"R01","DA",47851,1,"A1",NA,8152442,"LISTON, CONOR M ","GOLDSTEIN, RITA Z","Weill Medical Coll Of Cornell Univ",NA,2019,621348,NA,NA,"Include"
"600",2203,"Studies on the effects of a novel intermittent therapy on intratumoral clonal architecture and resistance","NCI",9740296,"1R01CA230267-01A1",1,"R01","CA",230267,1,"A1",NA,10911245,"LITO, PIRO ","Not Applicable","Sloan-Kettering Inst Can Research",NA,2019,410835,NA,NA,"Include"
"601",2208,"Studies in Poxvirus Evasion of SAMD9 Pathway","NIAID",9738165,"1R01AI139106-01A1",1,"R01","AI",139106,1,"A1",NA,10366031,"LIU, JIA ","Not Applicable","Univ Of Arkansas For Med Scis",NA,2019,368016,NA,NA,"Include"
"602",2213,"Identifying Personalized Risk of Acute Kidney Injury with Machine Learning","NIDDK",9819327,"1R01DK116986-01A1",1,"R01","DK",116986,1,"A1",NA,10228239,"LIU, MEI ","Not Applicable","University Of Kansas Medical Center",NA,2019,512304,NA,NA,"Include"
"603",2214,"Circuit-specific actions of endocannabinoids in stress and mood disorders","NIMH",9859875,"1R01MH121454-01",1,"R01","MH",121454,1,"",NA,9045560,"LIU, QING-SONG  ","HILLARD, CECILIA J","Medical College Of Wisconsin",NA,2019,385000,NA,NA,"Include"
"604",2215,"Temporal dynamics of stress; sleep; and arousal in short-term risk for adolescent suicidal behavior","NIMH",9830385,"1RF1MH120830-01",1,"RF1","MH",120830,1,"",NA,11211615,"LIU, RICHARD T","Not Applicable","Emma Pendleton Bradley Hospital",NA,2019,2640953,NA,NA,"Include"
"605",2219,"Regulators of Cancer Immunotherapy Response","NCI",9818071,"1R01CA234018-01A1",1,"R01","CA",234018,1,"A1",NA,7903921,"LIU, XIAOLE SHIRLEY ","WUCHERPFENNIG, KAI W","Dana-Farber Cancer Inst",NA,2019,497881,NA,NA,"Include"
"606",2223,"Functional Redundancy of Human Microbiome and its Implication in Fecal Microbiota Transplantation","NIAID",9641133,"1R01AI141529-01",1,"R01","AI",141529,1,"",NA,11954239,"LIU, YANG-YU ","Not Applicable","Brigham And Women's Hospital",NA,2019,919386,NA,NA,"Include"
"607",2225,"Reconnecting the injured cervical spinal cord by transplanted human iPSC-derived neural progenitors","NINDS",9712109,"1R01NS110707-01",1,"R01","NS",110707,1,"",NA,10660819,"LIU, YING ","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2019,336875,NA,NA,"Include"
"608",2230,"An Obesity-Induced Kinase that Regulates Adipose Homeostasis and Metabolic Diseases","NIDDK",9799662,"1R01DK121844-01",1,"R01","DK",121844,1,"",NA,6096130,"LO, JAMES C","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2019,423750,NA,NA,"Include"
"609",2236,"A Novel Computerized Cognitive Stress Test Designed for Clinical Trials in Early Alzheimer's: Relationship with Multimodal Imaging Biomarkers in Diverse Cultural Groups","NIA",9641430,"1R01AG061106-01",1,"R01","AG",61106,1,"",NA,1960265,"LOEWENSTEIN, DAVID ","Not Applicable","University Of Miami School Of Medicine",NA,2019,748976,NA,NA,"Include"
"610",2238,"Small molecule NO precursors as a bioactive source of NO in vasodilation and angiogenesis","NHLBI",9659500,"1R01HL139557-01A1",1,"R01","HL",139557,1,"A1",NA,6913730,"LOHR, NICOLE ","Not Applicable","Medical College Of Wisconsin",NA,2019,449839,NA,NA,"Include"
"611",2242,"Neural Computations Underlying Vocal Sensorimotor Transformations","NINDS",9818181,"1R01NS113071-01",1,"R01","NS",113071,1,"",NA,6355246,"LONG, MICHAEL A","Not Applicable","New York University School Of Medicine",NA,2019,727679,NA,NA,"Include"
"612",2244,"Function and Regulation of TSPAN2 in Vascular Disease","NHLBI",9660944,"1R01HL139794-01A1",1,"R01","HL",139794,1,"A1",NA,10224903,"LONG, XIAOCHUN ","Not Applicable","Albany Medical College",NA,2019,582706,NA,NA,"Include"
"613",2248,"Identifying neural pathophysiology in juvenile fibromyalgia","NIAMS",9830832,"1R01AR074795-01A1",1,"R01","AR",74795,1,"A1",NA,15445652,"LOPEZ-SOLA, MARINA ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2019,418757,NA,NA,"Include"
"614",2251,"Characterization of novel virulence factors in Candida","NIAID",9765613,"1R01AI143304-01A1",1,"R01","AI",143304,1,"A1",NA,1930859,"LORENZ, MICHAEL C","Not Applicable","University Of Texas Hlth Sci Ctr Houston",NA,2019,525819,NA,NA,"Include"
"615",2256,"Mechanistic insights into Variants of Uncertain Significance (VUS) using novel EGFR variants as a paradigm","NCI",9738546,"1R01CA227833-01A1",1,"R01","CA",227833,1,"A1",NA,10166448,"LOVLY, CHRISTINE M ","MEILER, JENS ","Vanderbilt University Medical Center",NA,2019,352184,NA,NA,"Include"
"616",2259,"Metabolites of Dietary Intake and Risk of Knee Osteoarthritis","NIAMS",9815151,"1R01AR074447-01A1",1,"R01","AR",74447,1,"A1",NA,10368845,"LU, BING ","Not Applicable","Brigham And Women's Hospital",NA,2019,705383,NA,NA,"Include"
"617",2266,"The HUSH complex in HIV-1 latency","NIAID",9846851,"1R37AI147868-01",1,"R37","AI",147868,1,"",NA,6660161,"LUBAN, JEREMY ","Not Applicable","Univ Of Massachusetts Med Sch Worcester",NA,2019,800162,NA,NA,"Include"
"618",2267,"Thyroid Nodule Treatment Optimization: A Personalized Approach","NCI",9817784,"1R37CA231957-01A1",1,"R37","CA",231957,1,"A1",NA,10202962,"LUBITZ, CARRIE CUNNINGHAM","Not Applicable","Massachusetts General Hospital",NA,2019,562778,NA,NA,"Include"
"619",2270,"Metformin in Alzheimer's dementia Prevention (MAP)","NIA",9715962,"1R01AG062624-01",1,"R01","AG",62624,1,"",NA,6900624,"LUCHSINGER, JOSE ","Not Applicable","Columbia University Health Sciences",NA,2019,4296110,NA,NA,"Include"
"620",2274,"Investigating T Cell Egress via Lymphatic Vessels in Melanoma","NCI",9708216,"1R01CA238163-01",1,"R01","CA",238163,1,"",NA,12071678,"LUND, AMANDA W","Not Applicable","Oregon Health & Science University",NA,2019,352275,NA,NA,"Include"
"621",2277,"Cell-based high-throughput chemical genetic screening for GSDMD inhibitors","NIAID",9636693,"1R01AI141386-01",1,"R01","AI",141386,1,"",NA,8130435,"LUO, HONGBO R","Not Applicable","Boston Children's Hospital",NA,2019,442500,NA,NA,"Include"
"622",2278,"Role of SAP30 in hypoxia inducible factor activation and breast cancer progression","NCI",9659142,"1R01CA222393-01A1",1,"R01","CA",222393,1,"A1",NA,10210511,"LUO, WEIBO ","Not Applicable","Ut Southwestern Medical Center",NA,2019,370575,NA,NA,"Include"
"623",2284,"Local and systemic control of multiple myeloma colonization and growth by MMP-13","NCI",9713896,"1R01CA239214-01",1,"R01","CA",239214,1,"",NA,8846677,"LYNCH, CONOR C","Not Applicable","H. Lee Moffitt Cancer Ctr & Res Inst",NA,2019,458439,NA,NA,"Include"
"624",2293,"Genetic dissection of visceral pain pathways","NIDDK",9801806,"1R01DK122833-01",1,"R01","DK",122833,1,"",NA,6412851,"MA, QIUFU ","Not Applicable","Dana-Farber Cancer Inst",NA,2019,445183,NA,NA,"Include"
"625",2294,"Intestinal Barrier; Probiotic Bacteria; and the Gut-Liver Axis","NIDDK",9713370,"1R01DK121073-01",1,"R01","DK",121073,1,"",NA,1935137,"MA, THOMAS Y","Not Applicable","Pennsylvania State Univ Hershey Med Ctr",NA,2019,490284,NA,NA,"Include"
"626",2305,"Mechanisms regulating the formation and repair of neuronal activity-induced DNA breaks and their effects on learning behavior","NIMH",9798631,"1R01MH120132-01",1,"R01","MH",120132,1,"",NA,9568884,"MADABHUSHI, RAM ","Not Applicable","Ut Southwestern Medical Center",NA,2019,401150,NA,NA,"Include"
"627",2309,"Enhanced gene delivery for CNS and sensory disorders","NIDCD",9738453,"1R01DC017117-01A1",1,"R01","DC",17117,1,"A1",NA,8835743,"MAGUIRE, CASEY A","Not Applicable","Massachusetts General Hospital",NA,2019,370613,NA,NA,"Include"
"628",2310,"Evaluation of drug mixtures for treating pain: behavioral and pharmacological interactions between opioids and serotonin agonists","NIDA",9684195,"1R01DA046532-01A1",1,"R01","DA",46532,1,"A1",NA,11012221,"MAGUIRE, DAVID RICHARD","Not Applicable","University Of Texas Hlth Science Center",NA,2019,449232,NA,NA,"Include"
"629",2312,"Prevalence and Clinical Correlates of Thirdhand Smoke Exposure in a Pediatric Patient Population","NIEHS",9800216,"1R01ES030743-01",1,"R01","ES",30743,1,"",NA,6573890,"MAHABEE-GITTENS, E. MELINDA ","Not Applicable","Cincinnati Childrens Hosp Med Ctr",NA,2019,647716,NA,NA,"Include"
"630",2314,"How Partial Meniscectomy Affects Contact Mechanics and Tissue Response","NIAMS",9791650,"1R01AR075523-01",1,"R01","AR",75523,1,"",NA,7120795,"MAHER, SUZANNE A. ","RODEO, SCOTT A","Hospital For Special Surgery",NA,2019,408084,NA,NA,"Include"
"631",2323,"Pin1 Regulation in Evolving Alzheimer?s Disease","NIA",9714137,"1RF1AG062653-01",1,"RF1","AG",62653,1,"",NA,1884536,"MALTER, JAMES S","Not Applicable","Ut Southwestern Medical Center",NA,2019,3257680,NA,NA,"Include"
"632",2325,"Role of endothelial Twist1 in vascular remodeling in pulmonary hypertension","NHLBI",9658091,"1R01HL139638-01A1",1,"R01","HL",139638,1,"A1",NA,9167902,"MAMMOTO, AKIKO  ","MAMMOTO, TADANORI ","Medical College Of Wisconsin",NA,2019,314169,NA,NA,"Include"
"633",2326,"Dynamically Tailoring Interventions for Problem-Solving in Diabetes Self-Management Using Self-Monitoring Data - a Randomized Controlled Trial.","NIDDK",9662421,"1R01DK113189-01A1",1,"R01","DK",113189,1,"A1",NA,10320742,"MAMYKINA, LENA ","Not Applicable","Columbia University Health Sciences",NA,2019,705335,NA,NA,"Include"
"634",2328,"Leveraging PfCRT Structure to Discern Function and Predict Emergence of Drug-Resistant Malaria","NIAID",9839213,"1R01AI147628-01",1,"R01","AI",147628,1,"",NA,9815330,"MANCIA, FILIPPO  ","FIDOCK, DAVID ARMAND;QUICK, MATTHIAS ","Columbia University Health Sciences",NA,2019,682430,NA,NA,"Include"
"635",2330,"Quantifiable stool-based TB PCR to Improve Diagnostics and Treatment Monitoring","NIAID",9740777,"1R01AI137527-01A1",1,"R01","AI",137527,1,"A1",NA,6106818,"MANDALAKAS, ANNA M","Not Applicable","Baylor College Of Medicine",NA,2019,671340,NA,NA,"Include"
"636",2331,"Dopamine-induced PET occupancy explored by PET/fMRI","NINDS",9800288,"1R01NS112295-01",1,"R01","NS",112295,1,"",NA,1939569,"MANDEVILLE, JOSEPH B","Not Applicable","Massachusetts General Hospital",NA,2019,474538,NA,NA,"Include"
"637",2332,"Posttranscriptional control of epidermal progenitors senescence","NIAMS",9764677,"1R01AR075421-01",1,"R01","AR",75421,1,"",NA,8664153,"MANDINOVA, ANNA  ","HSU, YA-CHIEH ","Massachusetts General Hospital",NA,2019,381625,NA,NA,"Include"
"638",2334,"The role of the mitochondrial protein dimer CHCHD2/10 in health and disease","NINDS",9807027,"1R01NS112672-01",1,"R01","NS",112672,1,"",NA,3150937,"MANFREDI, GIOVANNI ","Not Applicable","Weill Medical Coll Of Cornell Univ",NA,2019,425531,NA,NA,"Include"
"639",2340,"Identification of genetic and molecular pathways in congenital rare disorders affecting the brain and muscle","NINDS",9640535,"1R01NS109149-01",1,"R01","NS",109149,1,"",NA,10386422,"MANZINI, M. CHIARA ","Not Applicable","Rbhs-Robert Wood Johnson Medical School",NA,2019,339544,NA,NA,"Include"
"640",2342,"A host-dependent mechanism controlling influenza virus infection by suppressing viral RNA synthesis","NIAID",9711836,"1R01AI143840-01",1,"R01","AI",143840,1,"",NA,11602182,"MARAZZI, IVAN ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2019,423750,NA,NA,"Include"
"641",2353,"Functional characterization of a novel key regulator of the distal nephron whose deficiency leads to renal fibrosis and cyst formation","NIDDK",9661613,"1R01DK118134-01A1",1,"R01","DK",118134,1,"A1",NA,9342312,"MARNEROS, ALEXANDER GEORG","Not Applicable","Massachusetts General Hospital",NA,2019,349872,NA,NA,"Include"
"642",2354,"Salivary Diagnostics for Sepsis Screening in the Neonate","NICHD",9816915,"1R01HD097081-01A1",1,"R01","HD",97081,1,"A1",NA,9324872,"MARON, JILL LAMANNA ","WALT, DAVID R.","Tufts Medical Center",NA,2019,787517,NA,NA,"Include"
"643",2361,"Integrative Genomic Approaches for Understanding Sex Differences in Alzheimer's Disease","NIA",9715259,"1R01AG062634-01",1,"R01","AG",62634,1,"",NA,1922670,"MARTIN, EDEN R. ","KUNKLE, BRIAN WILLIAM;WANG, LILY ","University Of Miami School Of Medicine",NA,2019,762330,NA,NA,"Include"
"644",2364,"Biased Kappa Opioid Agonists as Non-addictive Analgesics","NIDA",9747431,"1R01DA048490-01",1,"R01","DA",48490,1,"",NA,1877517,"MARTIN, THOMAS JEFFREY ","JONES, SARA RAULERSON","Wake Forest University Health Sciences",NA,2019,479128,NA,NA,"Include"
"645",2366,"Phosphorylation-dependent regulation of calcium channels by macromolecular complexes","NHLBI",9840194,"1R01HL146149-01A1",1,"R01","HL",146149,1,"A1",NA,8052876,"MARX, STEVEN O ","PITT, GEOFFREY S","Columbia University Health Sciences",NA,2019,761645,NA,NA,"Include"
"646",2368,"Dissecting the role of dynamic epigenome prompting pathways leading to kidney allograft fibrosis","NIDDK",9834267,"1R01DK122682-01",1,"R01","DK",122682,1,"",NA,8749331,"MAS, VALERIA RAQUEL","Not Applicable","University Of Tennessee Health Sci Ctr",NA,2019,742480,NA,NA,"Include"
"647",2369,"A novel multifunctional role of diverse substrate binding and import by the Haemophilus Sap transporter","NIAID",9734803,"1R01AI139519-01A1",1,"R01","AI",139519,1,"A1",NA,8552025,"MASON, KEVIN M","Not Applicable","Research Inst Nationwide Children's Hosp",NA,2019,434997,NA,NA,"Include"
"648",2376,"The roles of SOCS5 in T-ALL migration and tissue infiltration","NCI",9834575,"1R01CA237165-01A1",1,"R01","CA",237165,1,"A1",NA,14234160,"MATLAWSKA, KSENIA ","Not Applicable","University Of New Mexico Health Scis Ctr",NA,2019,343258,NA,NA,"Include"
"649",2380,"Partial Bladder Outlet Obstruction:  Mechanisms of Injury and Novel Repair Strategies","NIDDK",9817747,"1R01DK119240-01A1",1,"R01","DK",119240,1,"A1",NA,9402343,"MAUNEY, JOSHUA ROBERT ","ESTRADA, CARLOS R","Boston Children's Hospital",NA,2019,398250,NA,NA,"Include"
"650",2381,"SCAN-MP (Screening for Cardiac Amyloidosiswith Nuclear imaging in Minority Populations)","NHLBI",9661914,"1R01HL139671-01A1",1,"R01","HL",139671,1,"A1",NA,6096543,"MAURER, MATHEW S ","RUBERG, FREDERICK LIEF","Columbia University Health Sciences",NA,2019,1464981,NA,NA,"Include"
"651",2385,"Mobile Phone Support for Adults and Support Persons to Live Well with Diabetes","NIDDK",9762340,"1R01DK119282-01A1",1,"R01","DK",119282,1,"A1",NA,11300035,"MAYBERRY, LINDSAY S.","Not Applicable","Vanderbilt University Medical Center",NA,2019,573901,NA,NA,"Include"
"652",2389,"Molecular studies of neural histone monoaminylation in normal and aberrant brain plasticity","NIMH",9734479,"1R01MH116900-01A1",1,"R01","MH",116900,1,"A1",NA,11050712,"MAZE, IAN ","Not Applicable","Icahn School Of Medicine At Mount Sinai",NA,2019,423750,NA,NA,"Include"
"653",2390,"Role of SETD5 in Chromatin Regulation and Tumorigenesis","NCI",9709531,"1R01CA236949-01",1,"R01","CA",236949,1,"",NA,10802097,"MAZUR, PAWEL K. ","GOZANI, OR P.","University Of Tx Md Anderson Can Ctr",NA,2019,401818,NA,NA,"Include"
"654",2395,"Iron Reduction for the Treatment of Diabetes and Nonalcoholic Fatty Liver Disease","NIDDK",9640937,"1R01DK119913-01",1,"R01","DK",119913,1,"",NA,1891372,"MCCLAIN, DONALD A.","Not Applicable","Wake Forest University Health Sciences",NA,2019,680226,NA,NA,"Include"
"655",2398,"Ascertaining Neurocircuitry to Enhance Neuromodulation Development ASCEND","NIMH",9714828,"1R01MH119285-01",1,"R01","MH",119285,1,"",NA,9347310,"MCCLINTOCK, SHAWN M ","HAWCO, COLIN ","Ut Southwestern Medical Center",NA,2019,553450,NA,NA,"Include"
"656",2399,"Determining the impact of cannabis use and severity on tobacco cessation outcomes: A prospective tobacco treatment trial","NCI",9835125,"1R37CA237245-01A1",1,"R37","CA",237245,1,"A1",NA,8409004,"MCCLURE, ERIN A","Not Applicable","Medical University Of South Carolina",NA,2019,605056,NA,NA,"Include"
"657",2405,"Noninvasive monitoring of brain tumor development with focused ultrasound and  extracellular vesicles","NIBIB",9839072,"1R01EB028686-01",1,"R01","EB",28686,1,"",NA,7938158,"MCDANNOLD, NATHAN J","Not Applicable","Brigham And Women's Hospital",NA,2019,527695,NA,NA,"Include"
"658",2407,"The Evolution of PGD addiction in Human Pancreatic Cancer","NCI",9662020,"1R01CA222594-01A1",1,"R01","CA",222594,1,"A1",NA,10983937,"MCDONALD, OLIVER GENE","Not Applicable","Vanderbilt University Medical Center",NA,2019,370901,NA,NA,"Include"
"659",2408,"Addressing Marshallese Immigrant Barriers to Diabetes Self-Management through Family DSMES","NIMHD",9711305,"1R01MD013852-01",1,"R01","MD",13852,1,"",NA,12109790,"MCELFISH, PEARL ","Not Applicable","Univ Of Arkansas For Med Scis",NA,2019,754414,NA,NA,"Include"
